,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
59,0.0,adapter.backbone.avgpool,17.27214,0.9251999855041504,0.2281915992498397
119,1e-07,adapter.backbone.avgpool,18.403112,0.9251999855041504,0.2281915992498397
179,2e-07,adapter.backbone.avgpool,17.933637,0.9251999855041504,0.2281915992498397
239,3e-07,adapter.backbone.avgpool,21.206666,0.9251999855041504,0.2281915992498397
299,4e-07,adapter.backbone.avgpool,15.518232,0.9251999855041504,0.2281915992498397
359,5e-07,adapter.backbone.avgpool,16.303385,0.9251999855041504,0.2281915992498397
419,6e-07,adapter.backbone.avgpool,16.231379,0.9251999855041504,0.2281915992498397
479,7e-07,adapter.backbone.avgpool,18.344681,0.9251999855041504,0.2281915992498397
539,8e-07,adapter.backbone.avgpool,17.874927,0.9251999855041504,0.2281915992498397
599,9e-07,adapter.backbone.avgpool,17.419309,0.9251999855041504,0.2281915992498397
659,1e-06,adapter.backbone.avgpool,17.555947,0.9251999855041504,0.2281915992498397
719,2e-06,adapter.backbone.avgpool,16.740245,0.9251999855041504,0.2281915992498397
779,3e-06,adapter.backbone.avgpool,16.863196,0.9251999855041504,0.2281915992498397
839,4e-06,adapter.backbone.avgpool,17.117988,0.9251999855041504,0.2281915992498397
899,5e-06,adapter.backbone.avgpool,17.158863,0.9251999855041504,0.2281915992498397
959,6e-06,adapter.backbone.avgpool,17.388934,0.9251999855041504,0.2281915992498397
1019,7e-06,adapter.backbone.avgpool,18.964806,0.9251999855041504,0.2281915992498397
1079,8e-06,adapter.backbone.avgpool,16.068854,0.9251999855041504,0.2281915992498397
1139,9e-06,adapter.backbone.avgpool,20.406027,0.9251999855041504,0.2281915992498397
1199,1e-05,adapter.backbone.avgpool,19.473517,0.9251999855041504,0.2281915992498397
1259,2e-05,adapter.backbone.avgpool,19.657331,0.9251999855041504,0.2281915992498397
1319,3.0000000000000004e-05,adapter.backbone.avgpool,18.496734,0.9251999855041504,0.2281915992498397
1379,4e-05,adapter.backbone.avgpool,17.762436,0.9251999855041504,0.2281915992498397
1439,5e-05,adapter.backbone.avgpool,16.283945,0.9251999855041504,0.2281915992498397
1499,6.000000000000001e-05,adapter.backbone.avgpool,16.475654,0.9251999855041504,0.2281915992498397
1559,7.000000000000001e-05,adapter.backbone.avgpool,17.873032,0.9251999855041504,0.2281915992498397
1619,8e-05,adapter.backbone.avgpool,17.035705,0.9251999855041504,0.2281915992498397
1679,9e-05,adapter.backbone.avgpool,18.555,0.9251999855041504,0.2281915992498397
1739,0.0001,adapter.backbone.avgpool,19.911739,0.9251999855041504,0.2281915992498397
1799,0.0002,adapter.backbone.avgpool,17.65346,0.9251999855041504,0.2281915992498397
1859,0.0003,adapter.backbone.avgpool,17.577479,0.9251999855041504,0.2281915992498397
1919,0.0004,adapter.backbone.avgpool,18.37798,0.9251999855041504,0.2281915992498397
1979,0.0005,adapter.backbone.avgpool,18.147568,0.9253000020980836,0.22820845246315
2039,0.0006,adapter.backbone.avgpool,19.911268,0.9251999855041504,0.2281915992498397
2099,0.0007,adapter.backbone.avgpool,18.20944,0.1494999974966049,
2159,0.0008,adapter.backbone.avgpool,19.955288,0.9251999855041504,0.2281915992498397
2219,0.0009,adapter.backbone.avgpool,16.963958,0.9253000020980836,0.2281971424818039
2279,0.001,adapter.backbone.avgpool,19.445079,0.9251999855041504,0.2281915992498397
2339,0.002,adapter.backbone.avgpool,18.344874,0.9251999855041504,0.2281915992498397
2399,0.003,adapter.backbone.avgpool,18.743828,0.9247999787330629,0.2289067655801773
2459,0.004,adapter.backbone.avgpool,19.793208,0.9246000051498412,0.2281959950923919
2519,0.005,adapter.backbone.avgpool,18.800141,0.7807999849319458,1.5128588680261796e+18
2579,0.006,adapter.backbone.avgpool,17.854848,0.8435999751091003,6.343624114990234
2639,0.007,adapter.backbone.avgpool,18.579711,0.9251999855041504,0.2281915843486786
2699,0.008,adapter.backbone.avgpool,19.112627,0.9251999855041504,0.2281917929649353
2759,0.009,adapter.backbone.avgpool,18.425114,0.9156000018119812,0.2729860246181488
