,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
2,0.0,adapter.backbone.bn1,15.553275,0.9251999855041504,0.2281915992498397
62,1e-07,adapter.backbone.bn1,16.660901,0.9251999855041504,0.2281915992498397
122,2e-07,adapter.backbone.bn1,18.063141,0.9251999855041504,0.2281915992498397
182,3e-07,adapter.backbone.bn1,17.781177,0.9251999855041504,0.2281915992498397
242,4e-07,adapter.backbone.bn1,17.855255,0.9251999855041504,0.2281915992498397
302,5e-07,adapter.backbone.bn1,16.302618,0.9251999855041504,0.2281915992498397
362,6e-07,adapter.backbone.bn1,16.999024,0.9251999855041504,0.2281915992498397
422,7e-07,adapter.backbone.bn1,16.111882,0.9251999855041504,0.2281915992498397
482,8e-07,adapter.backbone.bn1,17.295034,0.9251999855041504,0.2281915992498397
542,9e-07,adapter.backbone.bn1,18.60605,0.9251999855041504,0.2281915992498397
602,1e-06,adapter.backbone.bn1,17.20634,0.9251999855041504,0.2281915992498397
662,2e-06,adapter.backbone.bn1,17.895837,0.9251999855041504,0.2281991243362426
722,3e-06,adapter.backbone.bn1,16.595985,0.9251999855041504,0.2281921803951263
782,4e-06,adapter.backbone.bn1,18.756577,0.9243000149726868,251173814665216.0
842,5e-06,adapter.backbone.bn1,18.474438,0.9251999855041504,0.2281915992498397
902,6e-06,adapter.backbone.bn1,20.441378,0.9251999855041504,0.2281914800405502
962,7e-06,adapter.backbone.bn1,18.027454,0.9211000204086304,4565431050305536.0
1022,8e-06,adapter.backbone.bn1,20.394117,0.9251999855041504,0.2281915992498397
1082,9e-06,adapter.backbone.bn1,19.406258,0.9251999855041504,0.2281915992498397
1142,1e-05,adapter.backbone.bn1,18.530853,0.9251999855041504,0.2281915992498397
1202,2e-05,adapter.backbone.bn1,19.629981,0.9251999855041504,0.2281915992498397
1262,3.0000000000000004e-05,adapter.backbone.bn1,18.012153,0.9251999855041504,0.2281915843486786
1322,4e-05,adapter.backbone.bn1,19.72655,0.9251999855041504,0.2281915992498397
1382,5e-05,adapter.backbone.bn1,18.899846,0.1000000014901161,
1442,6.000000000000001e-05,adapter.backbone.bn1,18.069517,0.9251999855041504,0.2281873226165771
1502,7.000000000000001e-05,adapter.backbone.bn1,17.855231,0.9251999855041504,0.2281915992498397
1562,8e-05,adapter.backbone.bn1,17.518419,0.9253000020980836,0.2281789779663086
1622,9e-05,adapter.backbone.bn1,17.216563,0.9251999855041504,0.2281915843486786
1682,0.0001,adapter.backbone.bn1,20.136753,0.9251999855041504,0.2281808406114578
1742,0.0002,adapter.backbone.bn1,17.485076,0.1000000014901161,
1802,0.0003,adapter.backbone.bn1,16.784743,0.9251999855041504,0.2281916737556457
1862,0.0004,adapter.backbone.bn1,18.196407,0.9243999719619752,0.228814035654068
1922,0.0005,adapter.backbone.bn1,18.230359,0.9251999855041504,0.2281916290521621
1982,0.0006,adapter.backbone.bn1,17.85398,0.925000011920929,0.2283049374818802
2042,0.0007,adapter.backbone.bn1,18.787411,0.9247000217437744,0.2284097224473953
2102,0.0008,adapter.backbone.bn1,18.41652,0.9251999855041504,0.2281916290521621
2162,0.0009,adapter.backbone.bn1,19.279035,0.923799991607666,0.2291435748338699
2222,0.001,adapter.backbone.bn1,19.673317,0.9251999855041504,0.2281916290521621
2282,0.002,adapter.backbone.bn1,19.452108,0.9247999787330629,0.22819185256958
2342,0.003,adapter.backbone.bn1,17.714735,0.9240000247955322,0.2284196019172668
2402,0.004,adapter.backbone.bn1,17.842354,0.6888999938964844,1.0339481830596924
2462,0.005,adapter.backbone.bn1,18.77061,0.9251999855041504,0.2281916290521621
2522,0.006,adapter.backbone.bn1,20.422142,0.9251999855041504,0.2281918227672577
2582,0.007,adapter.backbone.bn1,18.720887,0.9251999855041504,0.2281915843486786
2642,0.008,adapter.backbone.bn1,18.829403,0.9251999855041504,0.2281915992498397
2702,0.009,adapter.backbone.bn1,19.058241,0.5004000067710876,6.377782344818115
2762,0.01,adapter.backbone.bn1,21.231544,0.3427000045776367,1407.27490234375
2822,0.02,adapter.backbone.bn1,19.669606,0.5842999815940857,1.560827374458313
2882,0.03,adapter.backbone.bn1,19.894405,0.9251999855041504,0.2281916290521621
2942,0.04,adapter.backbone.bn1,21.043642,0.9253000020980836,0.2281891405582428
3002,0.05,adapter.backbone.bn1,19.448401,0.9251999855041504,0.2281929701566696
3062,0.06,adapter.backbone.bn1,19.999315,0.9248999953269958,0.2282827198505401
3122,0.07,adapter.backbone.bn1,19.948929,0.2874000072479248,3.225459337234497
3182,0.08,adapter.backbone.bn1,19.227472,0.1000000014901161,
3242,0.09,adapter.backbone.bn1,19.737132,0.9253000020980836,0.2281631082296371
3302,0.1,adapter.backbone.bn1,19.560547,0.9253000020980836,0.228188619017601
3362,0.2,adapter.backbone.bn1,17.167193,0.9251999855041504,0.2281916737556457
3422,0.3,adapter.backbone.bn1,18.159931,0.9251999855041504,0.2281915098428726
3482,0.4,adapter.backbone.bn1,18.800748,0.9251999855041504,0.2281912863254547
3542,0.5,adapter.backbone.bn1,20.191473,0.1376000046730041,5.657534122467041
3602,0.6000000000000001,adapter.backbone.bn1,18.237478,0.9258000254631042,0.2280157506465912
3662,0.7000000000000001,adapter.backbone.bn1,21.090209,0.1209999993443489,48.40297317504883
3722,0.8,adapter.backbone.bn1,17.963031,0.1112999990582466,743800448.0
3782,0.9,adapter.backbone.bn1,20.00771,0.8098000288009644,0.5981971025466919
3842,1.0,adapter.backbone.bn1,19.715624,0.9251999855041504,0.2281936556100845
