,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
1,0.0,adapter.backbone.conv1,14.966035,0.9251999855041504,0.2281915992498397
61,1e-07,adapter.backbone.conv1,18.093296,0.9251999855041504,0.2281915992498397
121,2e-07,adapter.backbone.conv1,17.803835,0.9251999855041504,0.2281915992498397
181,3e-07,adapter.backbone.conv1,17.712454,0.9251999855041504,0.2281915992498397
241,4e-07,adapter.backbone.conv1,16.497125,0.9251999855041504,0.2281915992498397
301,5e-07,adapter.backbone.conv1,17.516165,0.9251999855041504,0.2281915992498397
361,6e-07,adapter.backbone.conv1,18.488386,0.9251999855041504,0.2281915992498397
421,7e-07,adapter.backbone.conv1,17.540867,0.9251999855041504,0.2281915992498397
481,8e-07,adapter.backbone.conv1,18.530096,0.9251999855041504,0.2281915992498397
541,9e-07,adapter.backbone.conv1,20.660393,0.9251999855041504,0.2281915992498397
601,1e-06,adapter.backbone.conv1,19.335956,0.9251999855041504,0.2281916290521621
661,2e-06,adapter.backbone.conv1,18.098175,0.9251999855041504,0.2281915843486786
721,3e-06,adapter.backbone.conv1,18.03563,0.9251999855041504,0.2281924486160278
781,4e-06,adapter.backbone.conv1,18.919366,0.9251999855041504,0.2281915992498397
841,5e-06,adapter.backbone.conv1,17.089373,0.9240000247955322,0.2322959154844284
901,6e-06,adapter.backbone.conv1,17.517833,0.9251999855041504,0.2281870543956756
961,7e-06,adapter.backbone.conv1,16.988218,0.9251999855041504,0.2281916290521621
1021,8e-06,adapter.backbone.conv1,17.604293,0.9251999855041504,0.2281915843486786
1081,9e-06,adapter.backbone.conv1,18.400328,0.925100028514862,0.2282147705554962
1141,1e-05,adapter.backbone.conv1,20.187737,0.9251999855041504,0.2281916290521621
1201,2e-05,adapter.backbone.conv1,16.768696,0.4212000072002411,211.8479766845703
1261,3.0000000000000004e-05,adapter.backbone.conv1,19.973834,0.6625000238418579,6545601.5
1321,4e-05,adapter.backbone.conv1,19.623877,0.9251999855041504,0.2281916290521621
1381,5e-05,adapter.backbone.conv1,19.585897,0.9251999855041504,0.2281916290521621
1441,6.000000000000001e-05,adapter.backbone.conv1,20.204324,0.9251999855041504,0.2281915992498397
1501,7.000000000000001e-05,adapter.backbone.conv1,17.120737,0.9251999855041504,0.2281916290521621
1561,8e-05,adapter.backbone.conv1,17.061354,0.9251999855041504,0.2281915843486786
1621,9e-05,adapter.backbone.conv1,17.537751,0.1689999997615814,2.275477968388096e+17
1681,0.0001,adapter.backbone.conv1,19.444337,0.9254999756813048,0.2286250740289688
1741,0.0002,adapter.backbone.conv1,16.956591,0.2027000039815902,7.846496105194092
1801,0.0003,adapter.backbone.conv1,17.514025,0.9251999855041504,0.2281916290521621
1861,0.0004,adapter.backbone.conv1,16.442633,0.9251999855041504,0.228196308016777
1921,0.0005,adapter.backbone.conv1,18.09118,0.9241999983787536,0.2285695374011993
1981,0.0006,adapter.backbone.conv1,18.748705,0.9251999855041504,0.2281921356916427
2041,0.0007,adapter.backbone.conv1,20.807464,0.9251999855041504,0.2281929701566696
2101,0.0008,adapter.backbone.conv1,17.678327,0.9251999855041504,0.2281915992498397
2161,0.0009,adapter.backbone.conv1,19.614498,0.9133999943733216,0.2659997940063476
2221,0.001,adapter.backbone.conv1,19.566485,0.9121000170707704,0.2802951037883758
2281,0.002,adapter.backbone.conv1,16.735644,0.1251000016927719,213928896.0
2341,0.003,adapter.backbone.conv1,17.505271,0.9251999855041504,0.2281915992498397
2401,0.004,adapter.backbone.conv1,18.394233,0.9251999855041504,0.2281916439533233
2461,0.005,adapter.backbone.conv1,19.300414,0.9251999855041504,0.2281915843486786
2521,0.006,adapter.backbone.conv1,19.248724,0.9251999855041504,0.2281916439533233
2581,0.007,adapter.backbone.conv1,19.244942,0.9251999855041504,0.2281925082206726
2641,0.008,adapter.backbone.conv1,18.346487,0.1535000056028366,5.506364345550537
2701,0.009,adapter.backbone.conv1,20.45707,0.9251999855041504,0.2281887382268905
2761,0.01,adapter.backbone.conv1,18.865984,0.9251999855041504,0.2281915992498397
2821,0.02,adapter.backbone.conv1,19.988418,0.9251999855041504,0.2281898707151413
2881,0.03,adapter.backbone.conv1,19.407684,0.925100028514862,0.2280523627996444
2941,0.04,adapter.backbone.conv1,18.318149,0.9151999950408936,0.261978417634964
3001,0.05,adapter.backbone.conv1,18.72957,0.4282000064849853,2.0542237758636475
3061,0.06,adapter.backbone.conv1,19.803569,0.9251999855041504,0.2281925529241562
3121,0.07,adapter.backbone.conv1,21.636991,0.925000011920929,0.2281713336706161
3181,0.08,adapter.backbone.conv1,16.991871,0.9251999855041504,0.2281928211450576
3241,0.09,adapter.backbone.conv1,21.116652,0.925000011920929,0.2279974818229675
3301,0.1,adapter.backbone.conv1,16.80624,0.9247000217437744,0.2280213832855224
3361,0.2,adapter.backbone.conv1,19.539317,0.9251999855041504,0.2281915992498397
3421,0.3,adapter.backbone.conv1,19.095204,0.1096000000834465,20541.271484375
3481,0.4,adapter.backbone.conv1,21.189112,0.1265999972820282,3.498415946960449
3541,0.5,adapter.backbone.conv1,19.615528,0.9251999855041504,0.2281915545463562
3601,0.6000000000000001,adapter.backbone.conv1,17.049547,0.9251999855041504,0.2281913012266159
3661,0.7000000000000001,adapter.backbone.conv1,20.102716,0.9251999855041504,0.2281931638717651
3721,0.8,adapter.backbone.conv1,20.190888,0.2897999882698059,3.4391889572143555
3781,0.9,adapter.backbone.conv1,21.87294,0.9143999814987184,0.2581618428230285
3841,1.0,adapter.backbone.conv1,19.583315,0.9253000020980836,0.2281413525342941
