,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
13,0.0,adapter.backbone.layer1.1.relu,17.520996,0.9251999855041504,0.2281915992498397
16,0.0,adapter.backbone.layer1.1.relu,16.091179,0.9251999855041504,0.2281915992498397
73,1e-07,adapter.backbone.layer1.1.relu,20.059085,0.9251999855041504,0.2281915992498397
76,1e-07,adapter.backbone.layer1.1.relu,17.566863,0.9251999855041504,0.2281915992498397
133,2e-07,adapter.backbone.layer1.1.relu,17.962165,0.9251999855041504,0.2281915992498397
136,2e-07,adapter.backbone.layer1.1.relu,19.964498,0.9251999855041504,0.2281915992498397
193,3e-07,adapter.backbone.layer1.1.relu,17.394187,0.9251999855041504,0.2281915992498397
196,3e-07,adapter.backbone.layer1.1.relu,16.454662,0.9251999855041504,0.2281915992498397
253,4e-07,adapter.backbone.layer1.1.relu,17.711585,0.9251999855041504,0.2281915992498397
256,4e-07,adapter.backbone.layer1.1.relu,18.170879,0.9251999855041504,0.2281915992498397
313,5e-07,adapter.backbone.layer1.1.relu,17.945971,0.9251999855041504,0.2281915992498397
316,5e-07,adapter.backbone.layer1.1.relu,18.279626,0.9251999855041504,0.2281915992498397
373,6e-07,adapter.backbone.layer1.1.relu,17.907608,0.9251999855041504,0.2281915992498397
376,6e-07,adapter.backbone.layer1.1.relu,17.574864,0.9251999855041504,0.2281915992498397
433,7e-07,adapter.backbone.layer1.1.relu,16.741345,0.9251999855041504,0.2281915992498397
436,7e-07,adapter.backbone.layer1.1.relu,16.181204,0.9251999855041504,0.2281915992498397
493,8e-07,adapter.backbone.layer1.1.relu,17.72927,0.9251999855041504,0.2281915992498397
496,8e-07,adapter.backbone.layer1.1.relu,17.701245,0.9251999855041504,0.2281916290521621
553,9e-07,adapter.backbone.layer1.1.relu,17.797606,0.9251999855041504,0.2281915992498397
556,9e-07,adapter.backbone.layer1.1.relu,17.962878,0.9251999855041504,0.2281915992498397
613,1e-06,adapter.backbone.layer1.1.relu,17.858717,0.9251999855041504,0.2281915992498397
616,1e-06,adapter.backbone.layer1.1.relu,17.36626,0.9251999855041504,0.2281915992498397
673,2e-06,adapter.backbone.layer1.1.relu,16.80027,0.9251999855041504,0.2281915992498397
676,2e-06,adapter.backbone.layer1.1.relu,17.30472,0.9251999855041504,0.2281915992498397
733,3e-06,adapter.backbone.layer1.1.relu,17.388971,0.9251999855041504,0.2281915992498397
736,3e-06,adapter.backbone.layer1.1.relu,17.471926,0.9251999855041504,0.2281915992498397
793,4e-06,adapter.backbone.layer1.1.relu,17.46658,0.9251999855041504,0.2281915992498397
796,4e-06,adapter.backbone.layer1.1.relu,16.58447,0.9251999855041504,0.2281915992498397
853,5e-06,adapter.backbone.layer1.1.relu,20.124202,0.9251999855041504,0.2281915992498397
856,5e-06,adapter.backbone.layer1.1.relu,18.190047,0.9090999960899352,219998.75
913,6e-06,adapter.backbone.layer1.1.relu,17.826986,0.9251999855041504,0.2281915992498397
916,6e-06,adapter.backbone.layer1.1.relu,18.919137,0.9251999855041504,0.2281915992498397
973,7e-06,adapter.backbone.layer1.1.relu,17.972858,0.9251999855041504,0.2281915545463562
976,7e-06,adapter.backbone.layer1.1.relu,17.409905,0.925000011920929,23958254518272.0
1033,8e-06,adapter.backbone.layer1.1.relu,17.638721,0.9097999930381776,0.2696838080883026
1036,8e-06,adapter.backbone.layer1.1.relu,19.623379,0.1799000054597854,inf
1093,9e-06,adapter.backbone.layer1.1.relu,19.460989,0.9251999855041504,0.2281915992498397
1096,9e-06,adapter.backbone.layer1.1.relu,23.473905,0.9251999855041504,0.2281925976276397
1153,1e-05,adapter.backbone.layer1.1.relu,19.830295,0.9251999855041504,0.2281916290521621
1156,1e-05,adapter.backbone.layer1.1.relu,20.597379,0.9251999855041504,0.2281915992498397
1213,2e-05,adapter.backbone.layer1.1.relu,18.070501,0.9251999855041504,0.2281915992498397
1216,2e-05,adapter.backbone.layer1.1.relu,18.04988,0.925100028514862,0.2281945347785949
1273,3.0000000000000004e-05,adapter.backbone.layer1.1.relu,19.130389,0.9251999855041504,0.22819185256958
1276,3.0000000000000004e-05,adapter.backbone.layer1.1.relu,16.135031,0.9251999855041504,0.2281822264194488
1333,4e-05,adapter.backbone.layer1.1.relu,17.669358,0.9251999855041504,0.2281921654939651
1336,4e-05,adapter.backbone.layer1.1.relu,17.225089,0.9251999855041504,0.2282027304172516
1393,5e-05,adapter.backbone.layer1.1.relu,18.028953,0.9251999855041504,0.2281916737556457
1396,5e-05,adapter.backbone.layer1.1.relu,19.396523,0.9251999855041504,0.2281915992498397
1453,6.000000000000001e-05,adapter.backbone.layer1.1.relu,16.21626,0.9251999855041504,0.2281915545463562
1456,6.000000000000001e-05,adapter.backbone.layer1.1.relu,18.531243,0.9251999855041504,0.2281915992498397
1513,7.000000000000001e-05,adapter.backbone.layer1.1.relu,19.170593,0.692799985408783,5160075.0
1516,7.000000000000001e-05,adapter.backbone.layer1.1.relu,18.696325,0.9248999953269958,0.2280867993831634
1573,8e-05,adapter.backbone.layer1.1.relu,18.461277,0.9251999855041504,0.2282700985670089
1576,8e-05,adapter.backbone.layer1.1.relu,18.055376,0.9251999855041504,0.2281915992498397
1633,9e-05,adapter.backbone.layer1.1.relu,18.210855,0.9251999855041504,0.2281912118196487
1636,9e-05,adapter.backbone.layer1.1.relu,19.179839,0.9251999855041504,0.2281915098428726
1693,0.0001,adapter.backbone.layer1.1.relu,16.924254,0.925100028514862,0.2281920611858368
1696,0.0001,adapter.backbone.layer1.1.relu,17.676701,0.9247000217437744,0.2286801785230636
1753,0.0002,adapter.backbone.layer1.1.relu,18.51216,0.925000011920929,0.2281492948532104
1756,0.0002,adapter.backbone.layer1.1.relu,17.929645,0.9251999855041504,0.2281917184591293
1813,0.0003,adapter.backbone.layer1.1.relu,18.336934,0.9251999855041504,0.2281916290521621
1816,0.0003,adapter.backbone.layer1.1.relu,17.921937,0.9251999855041504,0.2281916290521621
1873,0.0004,adapter.backbone.layer1.1.relu,17.387578,0.9241999983787536,0.2305262386798858
1876,0.0004,adapter.backbone.layer1.1.relu,17.910214,0.9251999855041504,0.2281977087259292
1933,0.0005,adapter.backbone.layer1.1.relu,18.942002,0.9253000020980836,0.2286986261606216
1936,0.0005,adapter.backbone.layer1.1.relu,16.534107,0.9247999787330629,0.2281422317028045
1993,0.0006,adapter.backbone.layer1.1.relu,18.549688,0.9247000217437744,0.2284037619829177
1996,0.0006,adapter.backbone.layer1.1.relu,17.588689,0.5644000172615051,2.227151870727539
2053,0.0007,adapter.backbone.layer1.1.relu,18.427201,0.0899000018835067,
2056,0.0007,adapter.backbone.layer1.1.relu,18.688306,0.9254000186920166,0.2288153022527694
2113,0.0008,adapter.backbone.layer1.1.relu,20.535944,0.9251999855041504,0.2281915992498397
2116,0.0008,adapter.backbone.layer1.1.relu,19.552633,0.9251999855041504,0.2281926274299621
2173,0.0009,adapter.backbone.layer1.1.relu,18.735195,0.9187999963760376,0.2433511763811111
2176,0.0009,adapter.backbone.layer1.1.relu,21.824279,0.9251999855041504,0.2281913757324218
2233,0.001,adapter.backbone.layer1.1.relu,19.455608,0.9251999855041504,0.2281915992498397
2236,0.001,adapter.backbone.layer1.1.relu,19.171962,0.9251999855041504,0.2281938046216964
2293,0.002,adapter.backbone.layer1.1.relu,20.092045,0.9251999855041504,0.2281915992498397
2296,0.002,adapter.backbone.layer1.1.relu,18.260799,0.9194999933242798,0.2473993450403213
2353,0.003,adapter.backbone.layer1.1.relu,19.063679,0.0961000025272369,5063.0498046875
2356,0.003,adapter.backbone.layer1.1.relu,19.888608,0.9144999980926514,0.2527100443840027
2413,0.004,adapter.backbone.layer1.1.relu,19.895829,0.1033999994397163,23153359192064.0
2416,0.004,adapter.backbone.layer1.1.relu,20.108326,0.9251999855041504,0.2281915843486786
2473,0.005,adapter.backbone.layer1.1.relu,18.975579,0.9251999855041504,0.2281916290521621
2476,0.005,adapter.backbone.layer1.1.relu,20.014946,0.9251999855041504,0.2281916290521621
2533,0.006,adapter.backbone.layer1.1.relu,17.005095,0.9239000082015992,0.2287179380655288
2536,0.006,adapter.backbone.layer1.1.relu,20.249602,0.9247000217437744,0.2287583202123642
2593,0.007,adapter.backbone.layer1.1.relu,18.078257,0.9251999855041504,0.2281915992498397
2596,0.007,adapter.backbone.layer1.1.relu,19.055511,0.9251999855041504,0.2281915992498397
2653,0.008,adapter.backbone.layer1.1.relu,18.017373,0.9253000020980836,0.2281824201345443
2656,0.008,adapter.backbone.layer1.1.relu,18.004956,0.9251999855041504,0.2281915992498397
2713,0.009,adapter.backbone.layer1.1.relu,18.026886,0.9251999855041504,0.2281915992498397
2716,0.009,adapter.backbone.layer1.1.relu,17.913042,0.9253000020980836,0.2281955778598785
2773,0.01,adapter.backbone.layer1.1.relu,20.102289,0.9251999855041504,0.2281913608312606
2776,0.01,adapter.backbone.layer1.1.relu,20.061425,0.9251999855041504,0.2281916439533233
2833,0.02,adapter.backbone.layer1.1.relu,18.713712,0.9248999953269958,0.2285802066326141
2836,0.02,adapter.backbone.layer1.1.relu,19.748833,0.1064999997615814,inf
2893,0.03,adapter.backbone.layer1.1.relu,18.779979,0.9027000069618224,0.2962588369846344
2896,0.03,adapter.backbone.layer1.1.relu,19.936385,0.9251999855041504,0.2281917035579681
2953,0.04,adapter.backbone.layer1.1.relu,18.08883,0.9248999953269958,0.2280415296554565
2956,0.04,adapter.backbone.layer1.1.relu,19.93932,0.8597999811172485,0.4503121972084045
3013,0.05,adapter.backbone.layer1.1.relu,17.325318,0.9251999855041504,0.2281915992498397
3016,0.05,adapter.backbone.layer1.1.relu,19.678654,0.9251999855041504,0.2281909435987472
3073,0.06,adapter.backbone.layer1.1.relu,17.117011,0.1000000014901161,
3076,0.06,adapter.backbone.layer1.1.relu,21.50901,0.9247999787330629,0.2283752709627151
3133,0.07,adapter.backbone.layer1.1.relu,19.527538,0.9251999855041504,0.2281916290521621
3136,0.07,adapter.backbone.layer1.1.relu,20.561541,0.9247000217437744,0.2285012155771255
3193,0.08,adapter.backbone.layer1.1.relu,19.292152,0.9251999855041504,0.2281910926103592
3196,0.08,adapter.backbone.layer1.1.relu,18.147694,0.9251999855041504,0.2281891107559204
3253,0.09,adapter.backbone.layer1.1.relu,18.094366,0.9251999855041504,0.2281919419765472
3256,0.09,adapter.backbone.layer1.1.relu,18.72621,0.9251999855041504,0.2281917035579681
3313,0.1,adapter.backbone.layer1.1.relu,17.897214,0.8079000115394592,0.6140299439430237
3316,0.1,adapter.backbone.layer1.1.relu,19.855478,0.9251999855041504,0.2281909435987472
3373,0.2,adapter.backbone.layer1.1.relu,19.440265,0.9248999953269958,0.2286511659622192
3376,0.2,adapter.backbone.layer1.1.relu,21.412454,0.925599992275238,0.228181391954422
3433,0.3,adapter.backbone.layer1.1.relu,18.494426,0.8877000212669373,0.3482443988323211
