,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
37,0.0,adapter.backbone.layer3.0.downsample.1,16.670652,0.9251999855041504,0.2281915992498397
97,1e-07,adapter.backbone.layer3.0.downsample.1,17.624593,0.9251999855041504,0.2281915992498397
157,2e-07,adapter.backbone.layer3.0.downsample.1,20.008184,0.9251999855041504,0.2281915992498397
217,3e-07,adapter.backbone.layer3.0.downsample.1,18.244915,0.9251999855041504,0.2281915992498397
277,4e-07,adapter.backbone.layer3.0.downsample.1,17.458296,0.9251999855041504,0.2281915992498397
337,5e-07,adapter.backbone.layer3.0.downsample.1,17.261485,0.9251999855041504,0.2281915992498397
397,6e-07,adapter.backbone.layer3.0.downsample.1,17.071883,0.9251999855041504,0.2281915992498397
457,7e-07,adapter.backbone.layer3.0.downsample.1,16.290627,0.9251999855041504,0.2281915992498397
517,8e-07,adapter.backbone.layer3.0.downsample.1,17.167441,0.9251999855041504,0.2281915992498397
577,9e-07,adapter.backbone.layer3.0.downsample.1,17.555887,0.9251999855041504,0.2281915992498397
637,1e-06,adapter.backbone.layer3.0.downsample.1,19.196586,0.9251999855041504,0.2281915992498397
697,2e-06,adapter.backbone.layer3.0.downsample.1,18.106439,0.9251999855041504,0.2281915992498397
757,3e-06,adapter.backbone.layer3.0.downsample.1,18.017695,0.9251999855041504,0.2281915992498397
817,4e-06,adapter.backbone.layer3.0.downsample.1,17.356347,0.9251999855041504,0.2281915992498397
877,5e-06,adapter.backbone.layer3.0.downsample.1,19.631691,0.9251999855041504,0.2281916290521621
937,6e-06,adapter.backbone.layer3.0.downsample.1,14.84439,0.9251999855041504,0.2281915992498397
997,7e-06,adapter.backbone.layer3.0.downsample.1,19.381482,0.9251999855041504,0.2281915992498397
1057,8e-06,adapter.backbone.layer3.0.downsample.1,20.010179,0.9251999855041504,0.2281915992498397
1117,9e-06,adapter.backbone.layer3.0.downsample.1,17.768083,0.9251999855041504,0.2281915992498397
1177,1e-05,adapter.backbone.layer3.0.downsample.1,20.07976,0.9251999855041504,0.2281915992498397
1237,2e-05,adapter.backbone.layer3.0.downsample.1,17.627254,0.9251999855041504,0.2281915992498397
1297,3.0000000000000004e-05,adapter.backbone.layer3.0.downsample.1,18.180231,0.9251999855041504,0.2281915992498397
1357,4e-05,adapter.backbone.layer3.0.downsample.1,18.654183,0.9251999855041504,0.2281978279352188
1417,5e-05,adapter.backbone.layer3.0.downsample.1,19.95284,0.9251999855041504,0.2282047420740127
1477,6.000000000000001e-05,adapter.backbone.layer3.0.downsample.1,17.845837,0.9251999855041504,0.2281949669122696
1537,7.000000000000001e-05,adapter.backbone.layer3.0.downsample.1,18.662418,0.925100028514862,0.2281516343355178
1597,8e-05,adapter.backbone.layer3.0.downsample.1,16.540542,0.9251999855041504,0.2281915992498397
1657,9e-05,adapter.backbone.layer3.0.downsample.1,18.153732,0.9251999855041504,0.2281915843486786
1717,0.0001,adapter.backbone.layer3.0.downsample.1,19.236608,0.9251999855041504,0.22819584608078
1777,0.0002,adapter.backbone.layer3.0.downsample.1,17.757452,0.9251999855041504,0.2281917184591293
1837,0.0003,adapter.backbone.layer3.0.downsample.1,18.060028,0.925100028514862,0.2281537652015686
1897,0.0004,adapter.backbone.layer3.0.downsample.1,17.827667,0.9251999855041504,0.2281915992498397
1957,0.0005,adapter.backbone.layer3.0.downsample.1,16.797246,0.9251999855041504,0.2281915843486786
2017,0.0006,adapter.backbone.layer3.0.downsample.1,17.954379,0.9251999855041504,0.2281915992498397
2077,0.0007,adapter.backbone.layer3.0.downsample.1,21.720584,0.9251999855041504,0.2282294631004333
2137,0.0008,adapter.backbone.layer3.0.downsample.1,21.834751,0.9251999855041504,0.2281915992498397
2197,0.0009,adapter.backbone.layer3.0.downsample.1,17.782214,0.9251999855041504,0.2281916290521621
2257,0.001,adapter.backbone.layer3.0.downsample.1,20.093305,0.925100028514862,0.2283701598644256
2317,0.002,adapter.backbone.layer3.0.downsample.1,18.1072,0.9247999787330629,0.2313962876796722
2377,0.003,adapter.backbone.layer3.0.downsample.1,18.212744,0.9251999855041504,0.2281915992498397
2437,0.004,adapter.backbone.layer3.0.downsample.1,18.576311,0.9248999953269958,0.2277267575263977
2497,0.005,adapter.backbone.layer3.0.downsample.1,18.231141,0.9254000186920166,0.2287039756774902
2557,0.006,adapter.backbone.layer3.0.downsample.1,19.944327,0.9251999855041504,0.2281915992498397
2617,0.007,adapter.backbone.layer3.0.downsample.1,18.935755,0.9251999855041504,0.2281916737556457
2677,0.008,adapter.backbone.layer3.0.downsample.1,17.966896,0.9248999953269958,0.2280695736408233
2737,0.009,adapter.backbone.layer3.0.downsample.1,17.963156,0.9251999855041504,0.2281916290521621
2797,0.01,adapter.backbone.layer3.0.downsample.1,17.941277,0.9251999855041504,0.2281918674707412
2857,0.02,adapter.backbone.layer3.0.downsample.1,17.537446,0.9247999787330629,0.2277228981256485
2917,0.03,adapter.backbone.layer3.0.downsample.1,18.080196,0.9251999855041504,0.2281916439533233
2977,0.04,adapter.backbone.layer3.0.downsample.1,18.558514,0.9214000105857848,0.2388132512569427
3037,0.05,adapter.backbone.layer3.0.downsample.1,18.175778,0.9251999855041504,0.22819185256958
3097,0.06,adapter.backbone.layer3.0.downsample.1,19.600698,0.9251999855041504,0.2281915992498397
3157,0.07,adapter.backbone.layer3.0.downsample.1,16.702234,0.9251999855041504,0.228311151266098
3217,0.08,adapter.backbone.layer3.0.downsample.1,19.584855,0.9121999740600586,0.2611445188522339
3277,0.09,adapter.backbone.layer3.0.downsample.1,18.964756,0.1000000014901161,
3337,0.1,adapter.backbone.layer3.0.downsample.1,18.87699,0.9247999787330629,0.2287397980690002
3397,0.2,adapter.backbone.layer3.0.downsample.1,23.342577,0.925100028514862,0.2288841307163238
3457,0.3,adapter.backbone.layer3.0.downsample.1,18.630204,0.9251999855041504,0.2281917035579681
3517,0.4,adapter.backbone.layer3.0.downsample.1,19.100413,0.9251999855041504,0.2281905263662338
3577,0.5,adapter.backbone.layer3.0.downsample.1,18.382622,0.9243999719619752,0.2290362119674682
3637,0.6000000000000001,adapter.backbone.layer3.0.downsample.1,16.853064,0.7885000109672546,0.667328953742981
3697,0.7000000000000001,adapter.backbone.layer3.0.downsample.1,21.085224,0.9251999855041504,0.2281917184591293
3757,0.8,adapter.backbone.layer3.0.downsample.1,17.888653,0.1757999956607818,3.776590347290039
3817,0.9,adapter.backbone.layer3.0.downsample.1,19.448763,0.925100028514862,0.2282425761222839
3877,1.0,adapter.backbone.layer3.0.downsample.1,17.943004,0.9251999855041504,0.228193312883377
