,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
42,0.0,adapter.backbone.layer3.1.conv2,17.561873,0.9251999855041504,0.2281915992498397
102,1e-07,adapter.backbone.layer3.1.conv2,16.888633,0.9251999855041504,0.2281915992498397
162,2e-07,adapter.backbone.layer3.1.conv2,18.632463,0.9251999855041504,0.2281915992498397
222,3e-07,adapter.backbone.layer3.1.conv2,17.977778,0.9251999855041504,0.2281915992498397
282,4e-07,adapter.backbone.layer3.1.conv2,16.238289,0.9251999855041504,0.2281915992498397
342,5e-07,adapter.backbone.layer3.1.conv2,17.980609,0.9251999855041504,0.2281915992498397
402,6e-07,adapter.backbone.layer3.1.conv2,18.027127,0.9251999855041504,0.2281915992498397
462,7e-07,adapter.backbone.layer3.1.conv2,17.26849,0.9251999855041504,0.2281915992498397
522,8e-07,adapter.backbone.layer3.1.conv2,18.183055,0.9251999855041504,0.2281915992498397
582,9e-07,adapter.backbone.layer3.1.conv2,18.082348,0.9251999855041504,0.2281915992498397
642,1e-06,adapter.backbone.layer3.1.conv2,16.583289,0.9251999855041504,0.2281915992498397
702,2e-06,adapter.backbone.layer3.1.conv2,16.753191,0.9251999855041504,0.2281915992498397
762,3e-06,adapter.backbone.layer3.1.conv2,17.538685,0.9251999855041504,0.2281915992498397
822,4e-06,adapter.backbone.layer3.1.conv2,18.476389,0.9251999855041504,0.2281915992498397
882,5e-06,adapter.backbone.layer3.1.conv2,20.295743,0.9251999855041504,0.2281915992498397
942,6e-06,adapter.backbone.layer3.1.conv2,17.466555,0.9251999855041504,0.2281915992498397
1002,7e-06,adapter.backbone.layer3.1.conv2,19.638315,0.9251999855041504,0.2281915843486786
1062,8e-06,adapter.backbone.layer3.1.conv2,19.828184,0.9251999855041504,0.2281917184591293
1122,9e-06,adapter.backbone.layer3.1.conv2,18.535945,0.9251999855041504,0.2281915992498397
1182,1e-05,adapter.backbone.layer3.1.conv2,16.72248,0.9251999855041504,0.2281915992498397
1242,2e-05,adapter.backbone.layer3.1.conv2,18.448349,0.9251999855041504,0.2281915992498397
1302,3.0000000000000004e-05,adapter.backbone.layer3.1.conv2,20.535782,0.9251999855041504,0.2281712591648101
1362,4e-05,adapter.backbone.layer3.1.conv2,17.729862,0.9251999855041504,0.2281915992498397
1422,5e-05,adapter.backbone.layer3.1.conv2,19.046739,0.9251999855041504,0.2281915992498397
1482,6.000000000000001e-05,adapter.backbone.layer3.1.conv2,17.745392,0.9251999855041504,0.2281913757324218
1542,7.000000000000001e-05,adapter.backbone.layer3.1.conv2,19.184521,0.9251999855041504,0.2281817644834518
1602,8e-05,adapter.backbone.layer3.1.conv2,19.262241,0.9251999855041504,0.2281916290521621
1662,9e-05,adapter.backbone.layer3.1.conv2,18.38288,0.9251999855041504,0.2282010912895202
1722,0.0001,adapter.backbone.layer3.1.conv2,17.472359,0.098300002515316,
1782,0.0002,adapter.backbone.layer3.1.conv2,16.908155,0.0925000011920929,
1842,0.0003,adapter.backbone.layer3.1.conv2,18.625659,0.9251999855041504,0.2281917184591293
1902,0.0004,adapter.backbone.layer3.1.conv2,17.803625,0.9254000186920166,0.2282297611236572
1962,0.0005,adapter.backbone.layer3.1.conv2,17.666423,0.9251999855041504,0.2281919419765472
2022,0.0006,adapter.backbone.layer3.1.conv2,16.990861,0.9251999855041504,0.2281915992498397
2082,0.0007,adapter.backbone.layer3.1.conv2,17.090684,0.9257000088691713,0.2272062003612518
2142,0.0008,adapter.backbone.layer3.1.conv2,18.021695,0.9251999855041504,0.2281915992498397
2202,0.0009,adapter.backbone.layer3.1.conv2,20.334027,0.925100028514862,0.2280080765485763
2262,0.001,adapter.backbone.layer3.1.conv2,18.735715,0.0982000008225441,
2322,0.002,adapter.backbone.layer3.1.conv2,18.185168,0.1000000014901161,
2382,0.003,adapter.backbone.layer3.1.conv2,18.161137,0.9240000247955322,0.2288682609796524
2442,0.004,adapter.backbone.layer3.1.conv2,19.658057,0.925599992275238,0.2283080369234085
2502,0.005,adapter.backbone.layer3.1.conv2,17.623043,0.9253000020980836,0.2284368723630905
2562,0.006,adapter.backbone.layer3.1.conv2,18.139648,0.9251999855041504,0.2281915992498397
2622,0.007,adapter.backbone.layer3.1.conv2,20.009235,0.9251999855041504,0.2281915992498397
2682,0.008,adapter.backbone.layer3.1.conv2,18.76684,0.9251999855041504,0.2281916290521621
2742,0.009,adapter.backbone.layer3.1.conv2,21.452696,0.9251999855041504,0.2281916290521621
2802,0.01,adapter.backbone.layer3.1.conv2,17.841881,0.9253000020980836,0.2282807677984237
2862,0.02,adapter.backbone.layer3.1.conv2,19.976746,0.9229999780654908,0.2318946719169616
