,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
54,0.0,adapter.backbone.layer4.1.bn1,17.890728,0.9251999855041504,0.2281915992498397
114,1e-07,adapter.backbone.layer4.1.bn1,16.601746,0.9251999855041504,0.2281915992498397
174,2e-07,adapter.backbone.layer4.1.bn1,16.811717,0.9251999855041504,0.2281915992498397
234,3e-07,adapter.backbone.layer4.1.bn1,16.749107,0.9251999855041504,0.2281915992498397
294,4e-07,adapter.backbone.layer4.1.bn1,16.135131,0.9251999855041504,0.2281915992498397
354,5e-07,adapter.backbone.layer4.1.bn1,17.589609,0.9251999855041504,0.2281915992498397
414,6e-07,adapter.backbone.layer4.1.bn1,15.189997,0.9251999855041504,0.2281915992498397
474,7e-07,adapter.backbone.layer4.1.bn1,17.472027,0.9251999855041504,0.2281915992498397
534,8e-07,adapter.backbone.layer4.1.bn1,17.434881,0.9251999855041504,0.2281915992498397
594,9e-07,adapter.backbone.layer4.1.bn1,16.56868,0.9251999855041504,0.2281915992498397
654,1e-06,adapter.backbone.layer4.1.bn1,17.938456,0.9251999855041504,0.2281915992498397
714,2e-06,adapter.backbone.layer4.1.bn1,17.788005,0.9251999855041504,0.2281915992498397
774,3e-06,adapter.backbone.layer4.1.bn1,16.669809,0.9251999855041504,0.2281915992498397
834,4e-06,adapter.backbone.layer4.1.bn1,20.340799,0.9251999855041504,0.2281915992498397
894,5e-06,adapter.backbone.layer4.1.bn1,18.726869,0.9251999855041504,0.2281915992498397
954,6e-06,adapter.backbone.layer4.1.bn1,19.565631,0.9251999855041504,0.2281915992498397
1014,7e-06,adapter.backbone.layer4.1.bn1,18.80893,0.9251999855041504,0.2281915992498397
1074,8e-06,adapter.backbone.layer4.1.bn1,18.56698,0.9251999855041504,0.2281915992498397
1134,9e-06,adapter.backbone.layer4.1.bn1,17.595347,0.9251999855041504,0.2281915992498397
1194,1e-05,adapter.backbone.layer4.1.bn1,18.359971,0.9251999855041504,0.2281915992498397
1254,2e-05,adapter.backbone.layer4.1.bn1,18.209777,0.9251999855041504,0.2281915992498397
1314,3.0000000000000004e-05,adapter.backbone.layer4.1.bn1,18.397448,0.9251999855041504,0.2281915992498397
1374,4e-05,adapter.backbone.layer4.1.bn1,18.307786,0.9251999855041504,0.2281915992498397
1434,5e-05,adapter.backbone.layer4.1.bn1,17.901901,0.9251999855041504,0.2281915992498397
1494,6.000000000000001e-05,adapter.backbone.layer4.1.bn1,17.116878,0.9251999855041504,0.2281915992498397
1554,7.000000000000001e-05,adapter.backbone.layer4.1.bn1,17.332035,0.925100028514862,0.2280213087797165
1614,8e-05,adapter.backbone.layer4.1.bn1,16.068697,0.9253000020980836,0.2281016558408737
1674,9e-05,adapter.backbone.layer4.1.bn1,19.922604,0.9251999855041504,0.2282531261444091
1734,0.0001,adapter.backbone.layer4.1.bn1,17.501947,0.9251999855041504,0.2281915992498397
1794,0.0002,adapter.backbone.layer4.1.bn1,17.457656,0.9251999855041504,0.2281915992498397
1854,0.0003,adapter.backbone.layer4.1.bn1,16.566459,0.9251999855041504,0.2281937450170517
1914,0.0004,adapter.backbone.layer4.1.bn1,18.765177,0.9251999855041504,0.2281941920518875
1974,0.0005,adapter.backbone.layer4.1.bn1,17.949019,0.9251999855041504,0.2281915992498397
2034,0.0006,adapter.backbone.layer4.1.bn1,22.66683,0.9251999855041504,0.2281915992498397
2094,0.0007,adapter.backbone.layer4.1.bn1,18.357041,0.9251999855041504,0.2281916290521621
2154,0.0008,adapter.backbone.layer4.1.bn1,18.785775,0.9251999855041504,0.2281916290521621
2214,0.0009,adapter.backbone.layer4.1.bn1,18.477713,0.9253000020980836,0.2281841337680816
2274,0.001,adapter.backbone.layer4.1.bn1,17.832667,0.9248999953269958,0.2283961623907089
2334,0.002,adapter.backbone.layer4.1.bn1,20.130905,0.1004000008106231,
2394,0.003,adapter.backbone.layer4.1.bn1,18.356635,0.9251999855041504,0.2281836867332458
2454,0.004,adapter.backbone.layer4.1.bn1,18.108318,0.9251999855041504,0.2281915992498397
2514,0.005,adapter.backbone.layer4.1.bn1,18.900626,0.923799991607666,0.2317198067903518
2574,0.006,adapter.backbone.layer4.1.bn1,17.244067,0.9251999855041504,0.2281915992498397
2634,0.007,adapter.backbone.layer4.1.bn1,19.350249,0.9253000020980836,0.2281899154186248
2694,0.008,adapter.backbone.layer4.1.bn1,18.130555,0.9240000247955322,0.2331962585449218
2754,0.009,adapter.backbone.layer4.1.bn1,18.363824,0.9244999885559082,0.2283111810684204
2814,0.01,adapter.backbone.layer4.1.bn1,18.695023,0.9251999855041504,0.2281915992498397
2874,0.02,adapter.backbone.layer4.1.bn1,18.448292,0.92330002784729,0.2332339584827423
2934,0.03,adapter.backbone.layer4.1.bn1,17.834584,0.925100028514862,0.2281521558761596
2994,0.04,adapter.backbone.layer4.1.bn1,19.978702,0.9251999855041504,0.2281915992498397
