,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
4,0.0,adapter.backbone.maxpool,17.930323,0.9251999855041504,0.2281915992498397
64,1e-07,adapter.backbone.maxpool,17.305381,0.9251999855041504,0.2281915992498397
124,2e-07,adapter.backbone.maxpool,17.833576,0.9251999855041504,0.2281915992498397
184,3e-07,adapter.backbone.maxpool,18.000004,0.9251999855041504,0.2281915992498397
244,4e-07,adapter.backbone.maxpool,17.021807,0.9251999855041504,0.2281915992498397
304,5e-07,adapter.backbone.maxpool,19.713249,0.9251999855041504,0.2281915992498397
364,6e-07,adapter.backbone.maxpool,18.146684,0.9251999855041504,0.2281915992498397
424,7e-07,adapter.backbone.maxpool,16.671064,0.9251999855041504,0.2281915992498397
484,8e-07,adapter.backbone.maxpool,17.885128,0.9251999855041504,0.2281915992498397
544,9e-07,adapter.backbone.maxpool,16.536842,0.9251999855041504,0.2281915992498397
604,1e-06,adapter.backbone.maxpool,17.608176,0.9251999855041504,0.2282686233520507
664,2e-06,adapter.backbone.maxpool,17.312675,0.9251999855041504,0.2281915992498397
724,3e-06,adapter.backbone.maxpool,17.874568,0.9251999855041504,0.2281915992498397
784,4e-06,adapter.backbone.maxpool,16.84714,0.9251999855041504,0.2281915992498397
844,5e-06,adapter.backbone.maxpool,17.202614,0.9251999855041504,0.2282981723546981
904,6e-06,adapter.backbone.maxpool,17.814136,0.9251999855041504,0.2281915992498397
964,7e-06,adapter.backbone.maxpool,18.357597,0.9251999855041504,0.2281915992498397
1024,8e-06,adapter.backbone.maxpool,18.801937,0.9251999855041504,0.2281915992498397
1084,9e-06,adapter.backbone.maxpool,20.435562,0.9251999855041504,0.2281915992498397
1144,1e-05,adapter.backbone.maxpool,18.650772,0.9251999855041504,0.2281915843486786
1204,2e-05,adapter.backbone.maxpool,19.802659,0.925000011920929,0.228153571486473
1264,3.0000000000000004e-05,adapter.backbone.maxpool,17.308663,0.9251999855041504,0.2281915992498397
1324,4e-05,adapter.backbone.maxpool,19.758546,0.9251999855041504,0.2281916290521621
1384,5e-05,adapter.backbone.maxpool,16.323952,0.9251999855041504,0.2281915992498397
1444,6.000000000000001e-05,adapter.backbone.maxpool,17.830192,0.9251999855041504,0.2281916290521621
1504,7.000000000000001e-05,adapter.backbone.maxpool,19.854477,0.9251999855041504,0.2281924784183502
1564,8e-05,adapter.backbone.maxpool,16.998697,0.099200002849102,
1624,9e-05,adapter.backbone.maxpool,15.816408,0.9251999855041504,0.2281916290521621
1684,0.0001,adapter.backbone.maxpool,19.127547,0.9236000180244446,0.2292446494102478
1744,0.0002,adapter.backbone.maxpool,17.501343,0.9251999855041504,0.2281916439533233
1804,0.0003,adapter.backbone.maxpool,17.819081,0.1000000014901161,
1864,0.0004,adapter.backbone.maxpool,19.08185,0.9251999855041504,0.2281916290521621
1924,0.0005,adapter.backbone.maxpool,18.061047,0.9251999855041504,0.2281916290521621
1984,0.0006,adapter.backbone.maxpool,17.97698,0.9251999855041504,0.2281927764415741
2044,0.0007,adapter.backbone.maxpool,18.319172,0.9199000000953674,0.2447861582040786
2104,0.0008,adapter.backbone.maxpool,19.804204,0.9251999855041504,0.2281915992498397
2164,0.0009,adapter.backbone.maxpool,19.936666,0.9251999855041504,0.2281915545463562
2224,0.001,adapter.backbone.maxpool,17.83006,0.9251999855041504,0.2281916737556457
2284,0.002,adapter.backbone.maxpool,18.031166,0.84170001745224,0.865104079246521
2344,0.003,adapter.backbone.maxpool,19.073463,0.9251999855041504,0.2281916439533233
2404,0.004,adapter.backbone.maxpool,18.734404,0.9251999855041504,0.2281915098428726
2464,0.005,adapter.backbone.maxpool,19.580931,0.9251999855041504,0.2281898260116577
2524,0.006,adapter.backbone.maxpool,17.87526,0.4867999851703644,1.4818461804920832e+17
2584,0.007,adapter.backbone.maxpool,18.823922,0.9251999855041504,0.2281915545463562
2644,0.008,adapter.backbone.maxpool,19.288686,0.3587000072002411,711.8478393554688
2704,0.009,adapter.backbone.maxpool,18.083023,0.9253000020980836,0.2281663119792938
2764,0.01,adapter.backbone.maxpool,21.87943,0.9253000020980836,0.2281777113676071
2824,0.02,adapter.backbone.maxpool,20.086245,0.9251999855041504,0.2281915992498397
