,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
3,0.0,adapter.backbone.relu,14.401333,0.9251999855041504,0.2281915992498397
63,1e-07,adapter.backbone.relu,17.821293,0.9251999855041504,0.2281915992498397
123,2e-07,adapter.backbone.relu,18.333617,0.9251999855041504,0.2281915992498397
183,3e-07,adapter.backbone.relu,17.872105,0.9251999855041504,0.2281915992498397
243,4e-07,adapter.backbone.relu,17.190592,0.9251999855041504,0.2281915992498397
303,5e-07,adapter.backbone.relu,18.062853,0.9251999855041504,0.2281915992498397
363,6e-07,adapter.backbone.relu,17.744282,0.9251999855041504,0.2281915992498397
423,7e-07,adapter.backbone.relu,17.132551,0.9251999855041504,0.2281915992498397
483,8e-07,adapter.backbone.relu,17.46266,0.9251999855041504,0.2281915992498397
543,9e-07,adapter.backbone.relu,17.643827,0.9251999855041504,0.2281915992498397
603,1e-06,adapter.backbone.relu,17.539345,0.9251999855041504,0.2281915992498397
663,2e-06,adapter.backbone.relu,19.963619,0.9251999855041504,0.2281915992498397
723,3e-06,adapter.backbone.relu,15.921688,0.9251999855041504,0.2281915992498397
783,4e-06,adapter.backbone.relu,18.12834,0.9251999855041504,0.2281915992498397
843,5e-06,adapter.backbone.relu,16.335092,0.9253000020980836,0.2281525880098343
903,6e-06,adapter.backbone.relu,17.433361,0.9251999855041504,0.2281940877437591
963,7e-06,adapter.backbone.relu,18.79721,0.9251999855041504,0.2281957268714904
1023,8e-06,adapter.backbone.relu,19.944304,0.9251999855041504,0.2281915992498397
1083,9e-06,adapter.backbone.relu,19.231439,0.8130999803543091,2.235381258142656e+34
1143,1e-05,adapter.backbone.relu,18.787514,0.9251999855041504,0.2281916290521621
1203,2e-05,adapter.backbone.relu,19.718071,0.9251999855041504,0.2281917035579681
1263,3.0000000000000004e-05,adapter.backbone.relu,20.267163,0.9253000020980836,0.2283613830804824
1323,4e-05,adapter.backbone.relu,18.625868,0.919099986553192,277076.3125
1383,5e-05,adapter.backbone.relu,17.163014,0.9226999878883362,156622.9375
1443,6.000000000000001e-05,adapter.backbone.relu,16.406319,0.9251999855041504,0.2281916290521621
1503,7.000000000000001e-05,adapter.backbone.relu,16.179759,0.9251999855041504,0.2281916290521621
1563,8e-05,adapter.backbone.relu,18.085433,0.91729998588562,0.2562441527843475
1623,9e-05,adapter.backbone.relu,18.484211,0.9247000217437744,0.2283738702535629
1683,0.0001,adapter.backbone.relu,18.786257,0.9251999855041504,0.2281915992498397
1743,0.0002,adapter.backbone.relu,17.983654,0.9251999855041504,0.2281915992498397
1803,0.0003,adapter.backbone.relu,21.337571,0.9121000170707704,0.3678315877914428
1863,0.0004,adapter.backbone.relu,18.083105,0.925100028514862,0.2282063961029052
1923,0.0005,adapter.backbone.relu,19.107662,0.9251999855041504,0.2281915992498397
1983,0.0006,adapter.backbone.relu,17.357671,0.9251999855041504,0.2281917035579681
2043,0.0007,adapter.backbone.relu,17.811164,0.9251999855041504,0.2282108664512634
2103,0.0008,adapter.backbone.relu,18.334461,0.7556999921798706,1.937558650970459
2163,0.0009,adapter.backbone.relu,18.970256,0.8792999982833862,0.3753227889537811
2223,0.001,adapter.backbone.relu,18.754901,0.9251999855041504,0.2281933277845382
2283,0.002,adapter.backbone.relu,19.691785,0.9251999855041504,0.2281916290521621
2343,0.003,adapter.backbone.relu,16.708531,0.9251999855041504,0.2281916290521621
2403,0.004,adapter.backbone.relu,19.258,0.355100005865097,1218.6417236328125
2463,0.005,adapter.backbone.relu,19.649269,0.9251999855041504,0.2281926572322845
2523,0.006,adapter.backbone.relu,18.191872,0.4050999879837036,88689144.0
2583,0.007,adapter.backbone.relu,21.450549,0.9251999855041504,0.2281916290521621
2643,0.008,adapter.backbone.relu,20.734837,0.925100028514862,0.2282073497772216
2703,0.009,adapter.backbone.relu,18.433107,0.9246000051498412,0.2290717214345932
2763,0.01,adapter.backbone.relu,18.074972,0.9251999855041504,0.2281916290521621
2823,0.02,adapter.backbone.relu,20.094948,0.5597000122070312,1.4857995510101318
2883,0.03,adapter.backbone.relu,20.650432,0.1000000014901161,
2943,0.04,adapter.backbone.relu,21.006764,0.9251999855041504,0.2281912118196487
3003,0.05,adapter.backbone.relu,18.08815,0.9251999855041504,0.2281915992498397
3063,0.06,adapter.backbone.relu,20.65107,0.9251999855041504,0.2281916290521621
3123,0.07,adapter.backbone.relu,19.836665,0.9251999855041504,0.2281917482614517
3183,0.08,adapter.backbone.relu,18.533205,0.7796000242233276,0.71372389793396
3243,0.09,adapter.backbone.relu,18.157307,0.1978999972343444,29.740524291992188
3303,0.1,adapter.backbone.relu,19.772942,0.9251999855041504,0.2281910628080368
3363,0.2,adapter.backbone.relu,18.167209,0.9251999855041504,0.2281916439533233
3423,0.3,adapter.backbone.relu,18.680244,0.9251999855041504,0.2281917780637741
3483,0.4,adapter.backbone.relu,19.957009,0.9251999855041504,0.2281917184591293
3543,0.5,adapter.backbone.relu,20.033089,0.9253000020980836,0.2281530499458313
3603,0.6000000000000001,adapter.backbone.relu,20.887829,0.925599992275238,0.2280706018209457
3663,0.7000000000000001,adapter.backbone.relu,20.215514,0.1324999928474426,6.01793098449707
3723,0.8,adapter.backbone.relu,18.207008,0.124499998986721,6.6179962158203125
3783,0.9,adapter.backbone.relu,18.335704,0.9251999855041504,0.2281902581453323
3843,1.0,adapter.backbone.relu,20.07487,0.9251999855041504,0.2281895726919174
