,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
60,0.0,adapter.head.0,17.126493,0.9251999855041504,0.2281915992498397
120,1e-07,adapter.head.0,17.591159,0.9251999855041504,0.2281915992498397
180,2e-07,adapter.head.0,18.278518,0.9251999855041504,0.2281915992498397
240,3e-07,adapter.head.0,17.822433,0.9251999855041504,0.2281915992498397
300,4e-07,adapter.head.0,16.333272,0.9251999855041504,0.2281915992498397
360,5e-07,adapter.head.0,15.942286,0.9251999855041504,0.2281915992498397
420,6e-07,adapter.head.0,17.938948,0.9251999855041504,0.2281915992498397
480,7e-07,adapter.head.0,17.711325,0.9251999855041504,0.2281915992498397
540,8e-07,adapter.head.0,18.80594,0.9251999855041504,0.2281915992498397
600,9e-07,adapter.head.0,17.578183,0.9251999855041504,0.2281915992498397
660,1e-06,adapter.head.0,16.221278,0.9251999855041504,0.2281915992498397
720,2e-06,adapter.head.0,17.314593,0.9251999855041504,0.2281915992498397
780,3e-06,adapter.head.0,17.356579,0.9251999855041504,0.2281915992498397
840,4e-06,adapter.head.0,17.00139,0.9251999855041504,0.2281915992498397
900,5e-06,adapter.head.0,16.903197,0.9251999855041504,0.2281915992498397
960,6e-06,adapter.head.0,16.190945,0.9251999855041504,0.2281915992498397
1020,7e-06,adapter.head.0,17.945671,0.9251999855041504,0.2281915992498397
1080,8e-06,adapter.head.0,15.721558,0.9251999855041504,0.2281915992498397
1140,9e-06,adapter.head.0,20.531964,0.9251999855041504,0.2281915992498397
1200,1e-05,adapter.head.0,19.896734,0.9251999855041504,0.2281915992498397
1260,2e-05,adapter.head.0,18.606963,0.9251999855041504,0.2281915992498397
1320,3.0000000000000004e-05,adapter.head.0,19.472116,0.9251999855041504,0.2281915992498397
1380,4e-05,adapter.head.0,17.045208,0.9251999855041504,0.2281915992498397
1440,5e-05,adapter.head.0,16.523986,0.9251999855041504,0.2281915992498397
1500,6.000000000000001e-05,adapter.head.0,16.891409,0.9251999855041504,0.2281915992498397
1560,7.000000000000001e-05,adapter.head.0,17.641138,0.9251999855041504,0.2281915992498397
1620,8e-05,adapter.head.0,18.135135,0.9251999855041504,0.2281915992498397
1680,9e-05,adapter.head.0,19.351889,0.9251999855041504,0.2281915992498397
1740,0.0001,adapter.head.0,18.029199,0.9251999855041504,0.2281915992498397
1800,0.0002,adapter.head.0,17.96205,0.9251999855041504,0.2281915992498397
1860,0.0003,adapter.head.0,17.53649,0.9251999855041504,0.2281915992498397
1920,0.0004,adapter.head.0,16.213619,0.9251999855041504,0.2281915992498397
1980,0.0005,adapter.head.0,17.694286,0.9251999855041504,0.2281915992498397
2040,0.0006,adapter.head.0,22.822736,0.9251999855041504,0.2281915992498397
2100,0.0007,adapter.head.0,18.151337,0.9251999855041504,0.2281915992498397
2160,0.0008,adapter.head.0,19.874346,0.9251999855041504,0.2281915992498397
2220,0.0009,adapter.head.0,17.939454,0.9251999855041504,0.2281915992498397
2280,0.001,adapter.head.0,17.264642,0.9251999855041504,0.2281915992498397
2340,0.002,adapter.head.0,17.902125,0.9251999855041504,0.2281915992498397
2400,0.003,adapter.head.0,21.189702,0.9251999855041504,0.2281915992498397
2460,0.004,adapter.head.0,18.771883,0.9251999855041504,0.2281915992498397
2520,0.005,adapter.head.0,19.345278,0.9251999855041504,0.2281915992498397
2580,0.006,adapter.head.0,16.709646,0.9251999855041504,0.2281915992498397
2640,0.007,adapter.head.0,17.750152,0.9251999855041504,0.2281915992498397
2700,0.008,adapter.head.0,18.864527,0.9251999855041504,0.2281915992498397
2760,0.009,adapter.head.0,17.339354,0.9251999855041504,0.2281915992498397
2820,0.01,adapter.head.0,20.238916,0.9251999855041504,0.2281915992498397
2880,0.02,adapter.head.0,18.483401,0.9251999855041504,0.2281915992498397
2940,0.03,adapter.head.0,18.240749,0.9251999855041504,0.2281915992498397
3000,0.04,adapter.head.0,20.368672,0.9251999855041504,0.2281915992498397
3060,0.05,adapter.head.0,18.000086,0.9251999855041504,0.2281915992498397
3120,0.06,adapter.head.0,18.28675,0.9251999855041504,0.2281915992498397
3180,0.07,adapter.head.0,21.62772,0.9251999855041504,0.2281915992498397
3240,0.08,adapter.head.0,20.341173,0.0392000004649162,10.41122341156006
3300,0.09,adapter.head.0,15.545498,0.9210000038146972,180920048.0
3360,0.1,adapter.head.0,17.398412,0.9251999855041504,0.2281915992498397
3420,0.2,adapter.head.0,16.722333,0.9247000217437744,0.2289298325777053
3480,0.3,adapter.head.0,19.973417,0.675000011920929,
3540,0.4,adapter.head.0,19.250561,0.9251999855041504,0.2281874716281891
3600,0.5,adapter.head.0,20.962119,0.925000011920929,0.2282429486513137
3660,0.6000000000000001,adapter.head.0,18.618233,0.9251999855041504,0.2281916290521621
3720,0.7000000000000001,adapter.head.0,19.130378,0.8996000289916992,53.630157470703125
3780,0.8,adapter.head.0,18.138588,0.0178999993950128,14.654681205749512
3840,0.9,adapter.head.0,18.410123,0.9251999855041504,0.2281915992498397
3900,1.0,adapter.head.0,18.565725,0.542900025844574,
