,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,0.0,-,18.593648,0.9251999855041504,0.2281915992498397
61,1e-07,adapter.backbone.conv1,18.093296,0.9251999855041504,0.2281915992498397
121,2e-07,adapter.backbone.conv1,17.803835,0.9251999855041504,0.2281915992498397
181,3e-07,adapter.backbone.conv1,17.712454,0.9251999855041504,0.2281915992498397
241,4e-07,adapter.backbone.conv1,16.497125,0.9251999855041504,0.2281915992498397
301,5e-07,adapter.backbone.conv1,17.516165,0.9251999855041504,0.2281915992498397
361,6e-07,adapter.backbone.conv1,18.488386,0.9251999855041504,0.2281915992498397
421,7e-07,adapter.backbone.conv1,17.540867,0.9251999855041504,0.2281915992498397
481,8e-07,adapter.backbone.conv1,18.530096,0.9251999855041504,0.2281915992498397
541,9e-07,adapter.backbone.conv1,20.660393,0.9251999855041504,0.2281915992498397
610,1e-06,adapter.backbone.layer1.0.relu,17.957556,0.9236999750137328,473.462646484375
661,2e-06,adapter.backbone.conv1,18.098175,0.9251999855041504,0.2281915843486786
764,3e-06,adapter.backbone.layer3.1.relu,17.974174,0.925000011920929,0.228240966796875
790,4e-06,adapter.backbone.layer1.0.relu,18.297444,0.4688999950885772,inf
856,5e-06,adapter.backbone.layer1.1.relu,18.190047,0.9090999960899352,219998.75
909,6e-06,adapter.backbone.layer1.0.bn2,16.365515,0.925000011920929,0.2282712608575821
962,7e-06,adapter.backbone.bn1,18.027454,0.9211000204086304,4565431050305536.0
1036,8e-06,adapter.backbone.layer1.1.relu,19.623379,0.1799000054597854,inf
1105,9e-06,adapter.backbone.layer2.1.conv1,19.949407,0.4178999960422516,inf
1190,1e-05,adapter.backbone.layer4.0.downsample.0,18.355792,0.925100028514862,0.2281704097986221
1258,2e-05,adapter.backbone.layer4.1.relu,17.49177,0.4075999855995178,
1261,3.0000000000000004e-05,adapter.backbone.conv1,19.973834,0.6625000238418579,6545601.5
1347,4e-05,adapter.backbone.layer2.1.relu,18.367269,0.0923999994993209,
1382,5e-05,adapter.backbone.bn1,18.899846,0.1000000014901161,
1450,6.000000000000001e-05,adapter.backbone.layer1.0.relu,17.364402,0.1061000004410743,
1558,7.000000000000001e-05,adapter.backbone.layer4.1.relu,18.60488,0.5199999809265137,1.252387724501975e+17
1564,8e-05,adapter.backbone.maxpool,16.998697,0.099200002849102,
1621,9e-05,adapter.backbone.conv1,17.537751,0.1689999997615814,2.275477968388096e+17
1722,0.0001,adapter.backbone.layer3.1.conv2,17.472359,0.098300002515316,
1782,0.0002,adapter.backbone.layer3.1.conv2,16.908155,0.0925000011920929,
1804,0.0003,adapter.backbone.maxpool,17.819081,0.1000000014901161,
1886,0.0004,adapter.backbone.layer2.1.bn1,17.85682,0.0996999964118003,
1925,0.0005,adapter.backbone.layer1.0.conv1,17.431296,0.1000000014901161,
2029,0.0006,adapter.backbone.layer4.0.bn2,18.869111,0.099600002169609,
2053,0.0007,adapter.backbone.layer1.1.relu,18.427201,0.0899000018835067,
2133,0.0008,adapter.backbone.layer3.0.relu,21.318431,0.100100003182888,
2177,0.0009,adapter.backbone.layer2.0.conv1,18.528558,0.4803999960422516,11225385.0
2262,0.001,adapter.backbone.layer3.1.conv2,18.735715,0.0982000008225441,
2295,0.002,adapter.backbone.layer1.1.bn2,20.971059,0.1000000014901161,
2353,0.003,adapter.backbone.layer1.1.relu,19.063679,0.0961000025272369,5063.0498046875
2413,0.004,adapter.backbone.layer1.1.relu,19.895829,0.1033999994397163,23153359192064.0
2490,0.005,adapter.backbone.layer2.1.relu,18.476236,0.479200005531311,28306466406400.0
2547,0.006,adapter.backbone.layer2.1.relu,19.074496,0.0998999997973442,
2618,0.007,adapter.backbone.layer3.0.relu,18.675726,0.1000000014901161,
2692,0.008,adapter.backbone.layer4.0.relu,19.199398,0.1000000014901161,
2702,0.009,adapter.backbone.bn1,19.058241,0.5004000067710876,6.377782344818115
2771,0.01,adapter.backbone.layer1.1.conv1,18.921145,0.2372999936342239,19700600.0
2858,0.02,adapter.backbone.layer3.0.relu,19.057816,0.1000000014901161,
2883,0.03,adapter.backbone.relu,20.650432,0.1000000014901161,
2987,0.04,adapter.backbone.layer4.0.relu,19.252724,0.100100003182888,
3006,0.05,adapter.backbone.layer1.0.bn1,18.156456,0.1000000014901161,
3073,0.06,adapter.backbone.layer1.1.relu,17.117011,0.1000000014901161,
3130,0.07,adapter.backbone.layer1.0.relu,18.255441,0.1000000014901161,
3240,0.08,adapter.head.0,20.341173,0.0392000004649162,10.41122341156006
3250,0.09,adapter.backbone.layer1.0.relu,20.139847,0.1000000014901161,
3305,0.1,adapter.backbone.layer1.0.conv1,18.085156,0.1000000014901161,9.76615047454834
3365,0.2,adapter.backbone.layer1.0.conv1,21.220456,0.0903000012040138,143711920.0
3442,0.3,adapter.backbone.layer2.0.downsample.0,18.164196,0.1000000014901161,
3495,0.4,adapter.backbone.layer1.1.bn2,18.381059,0.09009999781847,8.36665607855276e+17
3551,0.5,adapter.backbone.layer1.1.conv1,18.084107,0.0886000022292137,168366192.0
3639,0.6000000000000001,adapter.backbone.layer3.1.conv1,20.218152,0.0834000036120414,2395.623291015625
3673,0.7000000000000001,adapter.backbone.layer1.1.relu,18.094951,0.1000000014901161,
3780,0.8,adapter.head.0,18.138588,0.0178999993950128,14.654681205749512
3791,0.9,adapter.backbone.layer1.1.conv1,16.681221,0.0872000008821487,233372304.0
3848,1.0,adapter.backbone.layer1.0.conv2,17.275721,0.1000000014901161,
