,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,0.0,-,17.625418,0.9251999855041504,0.2281915992498397
61,1e-07,adapter.backbone.conv1,14.016947,0.9251999855041504,0.2281915992498397
121,2e-07,adapter.backbone.conv1,13.973326,0.9251999855041504,0.2281915992498397
191,3e-07,adapter.backbone.layer1.1.conv1,14.368962,0.925100028514862,0.2290672808885574
241,4e-07,adapter.backbone.conv1,19.459453,0.9251999855041504,0.2281915992498397
306,5e-07,adapter.backbone.layer1.0.bn1,13.102293,0.9247000217437744,0.2299811094999313
361,6e-07,adapter.backbone.conv1,18.462094,0.9248999953269958,0.228196382522583
421,7e-07,adapter.backbone.conv1,16.921224,0.9251999855041504,0.2281915992498397
485,8e-07,adapter.backbone.layer1.0.conv1,15.00377,0.9128000140190125,0.268749326467514
580,9e-07,adapter.backbone.layer3.1.bn1,13.002996,0.8087000250816345,0.5702400207519531
610,1e-06,adapter.backbone.layer1.0.relu,15.376179,0.9239000082015992,0.2289444357156753
669,2e-06,adapter.backbone.layer1.0.bn2,14.533691,0.9248999953269958,0.2333880364894867
763,3e-06,adapter.backbone.layer3.1.bn2,13.234022,0.8676000237464905,0.4064582586288452
782,4e-06,adapter.backbone.bn1,14.649686,0.8694000244140625,0.3962199687957763
846,5e-06,adapter.backbone.layer1.0.bn1,14.835572,0.9178000092506408,0.2443221658468246
950,6e-06,adapter.backbone.layer4.0.downsample.0,13.848565,0.8174999952316284,0.7008703947067261
962,7e-06,adapter.backbone.bn1,13.66654,0.2241999953985214,3.602271795272827
1047,8e-06,adapter.backbone.layer2.1.relu,16.027197,0.8219000101089478,0.5191612839698792
1083,9e-06,adapter.backbone.relu,16.358468,0.5210000276565552,1.571245193481445
1158,1e-05,adapter.backbone.layer2.0.bn1,14.416395,0.8981000185012817,0.3039166629314422
1258,2e-05,adapter.backbone.layer4.1.relu,15.27389,0.7569000124931335,0.903679609298706
1261,3.0000000000000004e-05,adapter.backbone.conv1,14.344575,0.9099000096321106,0.2786408960819244
1323,4e-05,adapter.backbone.relu,13.792333,0.5049999952316284,1.839285969734192
1382,5e-05,adapter.backbone.bn1,14.319982,0.1000000014901161,10.81784725189209
1468,6.000000000000001e-05,adapter.backbone.layer2.1.conv2,13.291583,0.5950000286102295,1.5461556911468506
1554,7.000000000000001e-05,adapter.backbone.layer4.1.bn1,15.817707,0.1321000009775161,18.18848991394043
1607,8e-05,adapter.backbone.layer4.0.relu,13.965546,0.1194000020623207,4.064307689666748
1655,9e-05,adapter.backbone.layer3.0.bn2,14.237629,0.3883000016212463,3.003108024597168
1702,0.0001,adapter.backbone.layer2.0.downsample.0,15.402038,0.6825000047683716,1.0345877408981323
1742,0.0002,adapter.backbone.bn1,14.639105,0.1000000014901161,12.977197647094728
1804,0.0003,adapter.backbone.maxpool,14.022609,0.1000000014901161,9.173158645629885
1870,0.0004,adapter.backbone.layer1.0.relu,13.496687,0.1026000007987022,6.219793796539307
1967,0.0005,adapter.backbone.layer4.0.relu,13.37553,0.2302999943494796,3.8973851203918457
1991,0.0006,adapter.backbone.layer1.1.conv1,15.539351,0.1000000014901161,9.76682472229004
2100,0.0007,adapter.head.0,13.506932,0.0469999983906745,109.79511260986328
2138,0.0008,adapter.backbone.layer3.0.relu,12.595932,0.1014999970793724,7.235094547271728
2178,0.0009,adapter.backbone.layer2.0.bn1,14.302113,0.101000003516674,11.983633041381836
2239,0.001,adapter.backbone.layer2.0.relu,14.051998,0.0998999997973442,9.50146770477295
2285,0.002,adapter.backbone.layer1.0.conv1,14.076417,0.1000000014901161,13.18251132965088
2379,0.003,adapter.backbone.layer3.1.conv1,15.23211,0.1089999973773956,9.91165542602539
2421,0.004,adapter.backbone.layer2.0.bn2,12.877109,0.09740000218153,20.73032760620117
2514,0.005,adapter.backbone.layer4.1.bn1,13.16742,0.0908000022172927,122.01329803466795
2523,0.006,adapter.backbone.relu,12.694607,0.1000000014901161,12.010601997375488
2618,0.007,adapter.backbone.layer3.0.relu,12.820223,0.1000000014901161,11.57233428955078
2675,0.008,adapter.backbone.layer3.0.bn2,14.492417,0.0945999994874,19.276092529296875
2746,0.009,adapter.backbone.layer4.0.bn1,14.205718,0.0962999984622001,27.098854064941406
2782,0.01,adapter.backbone.layer2.0.downsample.0,14.87699,0.095499999821186,9.219098091125488
2871,0.02,adapter.backbone.layer4.0.downsample.1,13.400543,0.096400000154972,135.76876831054688
2914,0.03,adapter.backbone.layer3.0.conv2,13.847627,0.0998999997973442,17.882640838623047
2956,0.04,adapter.backbone.layer1.1.relu,14.352278,0.1000000014901161,98.62994384765624
3030,0.05,adapter.backbone.layer2.1.relu,13.489988,0.0904000028967857,9.007878303527832
3117,0.06,adapter.backbone.layer4.1.bn2,13.323335,0.0218000002205371,34.28315353393555
3152,0.07,adapter.backbone.layer3.0.bn1,13.369982,0.0873000025749206,37.3504638671875
3240,0.08,adapter.head.0,13.418722,0.049100000411272,110.5774383544922
3294,0.09,adapter.backbone.layer4.1.bn1,15.1643,0.0566999986767768,902.3729248046876
3308,0.1,adapter.backbone.layer1.0.conv2,12.214243,0.0878000035881996,8.445880889892578
3369,0.2,adapter.backbone.layer1.0.bn2,12.481062,0.0844999998807907,25.342668533325195
3442,0.3,adapter.backbone.layer2.0.downsample.0,14.86157,0.0992999970912933,45.899200439453125
3534,0.4,adapter.backbone.layer4.1.bn1,13.930032,0.0093000000342726,2583.578857421875
3551,0.5,adapter.backbone.layer1.1.conv1,12.960062,0.0846000015735626,6.571423530578613
3654,0.6000000000000001,adapter.backbone.layer4.1.bn1,11.892363,0.0403999984264373,4215.904296875
3673,0.7000000000000001,adapter.backbone.layer1.1.relu,12.860094,0.1000000014901161,105.81546020507812
3780,0.8,adapter.head.0,11.880684,0.0337000004947185,221.07839965820312
3803,0.9,adapter.backbone.layer2.0.downsample.1,12.468332,0.0756999999284744,17.26959991455078
3878,1.0,adapter.backbone.layer3.0.relu,12.598261,0.0769999995827674,12.310665130615234
