,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
42,0.0,adapter.backbone.layer3.1.relu,24.308083,0.8361999988555908,1.5489082293485568e+16
102,1e-07,adapter.backbone.layer3.1.relu,17.41277,0.8001000285148621,
154,2e-07,adapter.backbone.layer3.0.relu,23.689921,0.8585000038146973,3574062.25
225,3e-07,adapter.backbone.layer3.1.relu,23.082474,0.7833999991416931,
251,4e-07,adapter.backbone.layer1.0.relu,34.042141,0.8751000165939331,17.650188446044922
345,5e-07,adapter.backbone.layer3.1.relu,18.117985,0.7980999946594238,
416,6e-07,adapter.backbone.layer4.1.relu,19.755268,0.7682999968528748,
476,7e-07,adapter.backbone.layer4.1.relu,20.158914,0.8180000185966492,1.634168028831482
522,8e-07,adapter.backbone.layer3.1.relu,18.647395,0.7990000247955322,
568,9e-07,adapter.backbone.layer2.1.relu,26.121616,0.8478000164031982,0.7093345522880554
631,1e-06,adapter.backbone.layer2.1.relu,26.47114,0.840499997138977,1951865.0
694,2e-06,adapter.backbone.layer3.0.relu,23.389284,0.8644999861717224,0.6095340251922607
768,3e-06,adapter.backbone.layer4.0.relu,19.878692,0.8296999931335449,431.0061950683594
822,4e-06,adapter.backbone.layer3.1.relu,22.465422,0.8317999839782715,1.0903024673461914
885,5e-06,adapter.backbone.layer3.1.relu,22.175908,0.7785000205039978,
959,6e-06,adapter.backbone.layer4.1.relu,22.81066,0.7522000074386597,
1005,7e-06,adapter.backbone.layer3.1.relu,21.273871,0.8597000241279602,0.6956629157066345
1051,8e-06,adapter.backbone.layer2.1.relu,26.829603,0.7946000099182129,
1111,9e-06,adapter.backbone.layer2.1.relu,27.900511,0.8544999957084656,18.044490814208984
1188,1e-05,adapter.backbone.layer4.0.relu,19.936507,0.8392999768257141,267.86309814453125
1208,2e-05,adapter.backbone.layer1.0.relu,47.310889,0.8758999705314636,0.6550948023796082
1277,3.0000000000000004e-05,adapter.backbone.layer1.1.relu,34.433751,0.8472999930381775,
1354,4e-05,adapter.backbone.layer3.0.relu,22.540708,0.8572999835014343,1.758201770934272e+16
1433,5e-05,adapter.backbone.layer4.0.relu,19.569073,0.6798999905586243,
1485,6.000000000000001e-05,adapter.backbone.layer3.1.relu,21.541954,0.867900013923645,468857.34375
1528,7.000000000000001e-05,adapter.backbone.layer2.1.relu,30.021926,0.8310999870300293,1.1710224151611328
1588,8e-05,adapter.backbone.layer2.1.relu,23.146742,0.8597000241279602,527246.375
1648,9e-05,adapter.backbone.layer2.1.relu,26.539142,0.8327000141143799,1.1082123517990112
1708,0.0001,adapter.backbone.layer2.1.relu,28.086934,0.8363999724388123,2333808.5
1793,0.0002,adapter.backbone.layer4.0.relu,16.582488,0.83160001039505,7.698112120776294e+16
1811,0.0003,adapter.backbone.layer1.0.relu,21.065951,0.8478999733924866,
1888,0.0004,adapter.backbone.layer2.1.relu,21.745653,0.8550999760627747,18.392921447753903
1937,0.0005,adapter.backbone.layer1.1.relu,32.926991,0.8725000023841858,
2008,0.0006,adapter.backbone.layer2.1.relu,17.628208,0.8615000247955322,1610205116760064.0
2082,0.0007,adapter.backbone.layer3.1.relu,17.319529,0.7865999937057495,
2128,0.0008,adapter.backbone.layer2.1.relu,20.874953,0.8435999751091003,
2213,0.0009,adapter.backbone.layer4.0.relu,16.701929,0.8450999855995178,222.40237426757807
2254,0.001,adapter.backbone.layer3.0.relu,15.933395,0.7967000007629395,
2322,0.002,adapter.backbone.layer3.1.relu,16.229139,0.8464000225067139,2474433.5
2393,0.003,adapter.backbone.layer4.0.relu,17.210024,0.8097000122070312,4.524719715118408
2453,0.004,adapter.backbone.layer4.0.relu,17.835904,0.823199987411499,4.362768173217773
2502,0.005,adapter.backbone.layer3.1.relu,15.893542,0.8436999917030334,
2545,0.006,adapter.backbone.layer2.0.relu,21.4599,0.8495000004768372,1.0135267972946167
2622,0.007,adapter.backbone.layer3.1.relu,15.94444,0.8554999828338623,
2718,0.008,adapter.backbone.layer3.1.relu,10.50261,0.7965999841690063,
2792,0.009,adapter.backbone.layer4.1.relu,10.425936,0.8334000110626221,
2838,0.01,adapter.backbone.layer3.1.relu,11.507433,0.8241999745368958,1.078946590423584
2861,0.02,adapter.backbone.layer1.0.relu,25.931022,0.8475000262260437,
2941,0.03,adapter.backbone.layer2.1.relu,13.545744,0.7950000166893005,
3029,0.04,adapter.backbone.layer4.1.relu,9.775367,0.76910001039505,
3086,0.05,adapter.backbone.layer4.0.relu,10.036919,0.8241999745368958,
3109,0.06,adapter.backbone.layer1.1.bn2,13.448245,0.8985999822616577,5623446.5
3184,0.07,adapter.backbone.layer2.1.relu,10.809228,0.8223999738693237,
3255,0.08,adapter.backbone.layer3.1.relu,11.088942,0.8513000011444092,0.7681557536125183
3326,0.09,adapter.backbone.layer4.0.relu,9.69814,0.8216000199317932,1.8928310871124268
3386,0.1,adapter.backbone.layer4.0.relu,10.873549,0.8407999873161316,2.3288378715515137
3418,0.2,adapter.backbone.layer2.0.relu,12.564709,0.7998999953269958,
3506,0.3,adapter.backbone.layer4.0.relu,9.632126,0.8418999910354614,
3555,0.4,adapter.backbone.layer3.1.relu,9.616701,0.8001000285148621,
3615,0.5,adapter.backbone.layer3.1.relu,10.174077,0.864799976348877,2419699748962304.0
3672,0.6000000000000001,adapter.backbone.layer3.0.relu,10.632723,0.8698999881744385,18.77702522277832
3710,0.7000000000000001,adapter.backbone.layer1.1.relu,19.825364,0.8471999764442444,
3801,0.8,adapter.backbone.layer4.0.relu,10.457417,0.8422999978065491,6.741435643382989e+16
3852,0.9,adapter.backbone.layer3.0.relu,11.191294,0.8518999814987183,
3915,1.0,adapter.backbone.layer3.1.relu,10.483609,0.7972000241279602,
