randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,-,10.19246,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.conv1,48.407648,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.bn1,48.414914,0.9251999855041504,0.2282979041337967
0.008,adapter.backbone.relu,27.849167,0.9251999855041504,0.22819240391254425
0.008,adapter.backbone.maxpool,12.822029,0.9251999855041504,0.2281915843486786
0.008,adapter.backbone.layer1.0.conv1,14.886148,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer1.0.bn1,12.760315,0.9251999855041504,0.22819150984287262
0.008,adapter.backbone.layer1.0.relu,19.670725,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer1.0.conv2,18.850496,0.9003000259399414,6728573.0
0.008,adapter.backbone.layer1.0.bn2,17.843044,0.9251999855041504,0.22821074724197388
0.008,adapter.backbone.layer1.0.relu,14.304024,0.9251000285148621,0.22819454967975616
0.008,adapter.backbone.layer1.1.conv1,15.176714,0.9251999855041504,0.2281920164823532
0.008,adapter.backbone.layer1.1.bn1,11.692565,0.9251999855041504,0.2281917780637741
0.008,adapter.backbone.layer1.1.relu,19.229077,0.9251000285148621,0.22819596529006958
0.008,adapter.backbone.layer1.1.conv2,15.660113,0.9229000210762024,0.2349989265203476
0.008,adapter.backbone.layer1.1.bn2,16.631813,0.9251000285148621,0.22818388044834137
0.008,adapter.backbone.layer1.1.relu,23.596011,0.9118000268936157,0.27329859137535095
0.008,adapter.backbone.layer2.0.conv1,11.406539,0.8995000123977661,0.5403190851211548
0.008,adapter.backbone.layer2.0.bn1,12.217949,0.9251000285148621,0.22821101546287537
0.008,adapter.backbone.layer2.0.relu,12.097128,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer2.0.conv2,11.595099,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer2.0.bn2,11.749041,0.9251999855041504,0.22819167375564575
0.008,adapter.backbone.layer2.0.downsample.0,11.980747,0.9253000020980835,0.22857750952243805
0.008,adapter.backbone.layer2.0.downsample.1,10.979972,0.9111999869346619,9820713305243648.0
0.008,adapter.backbone.layer2.0.relu,10.191957,0.925000011920929,0.2293526828289032
0.008,adapter.backbone.layer2.1.conv1,11.386608,0.9251999855041504,0.2281915545463562
0.008,adapter.backbone.layer2.1.bn1,10.983511,0.9251999855041504,0.2281915843486786
0.008,adapter.backbone.layer2.1.relu,11.831485,0.9251999855041504,0.22819603979587555
0.008,adapter.backbone.layer2.1.conv2,10.960693,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer2.1.bn2,12.289581,0.9251999855041504,0.22819164395332336
0.008,adapter.backbone.layer2.1.relu,13.670864,0.9251999855041504,0.22819116711616516
0.008,adapter.backbone.layer3.0.conv1,10.400717,0.9251999855041504,0.22820031642913818
0.008,adapter.backbone.layer3.0.bn1,10.205067,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer3.0.relu,10.68307,0.8607000112533569,0.7764304280281067
0.008,adapter.backbone.layer3.0.conv2,10.885656,0.9251000285148621,0.22854997217655182
0.008,adapter.backbone.layer3.0.bn2,10.074705,0.9251999855041504,0.22819170355796814
0.008,adapter.backbone.layer3.0.downsample.0,9.974583,0.9253000020980835,0.22906513512134552
0.008,adapter.backbone.layer3.0.downsample.1,9.605595,0.9251999855041504,0.22819162905216217
0.008,adapter.backbone.layer3.0.relu,9.980743,0.8823999762535095,7.813378810882568
0.008,adapter.backbone.layer3.1.conv1,9.830179,0.899399995803833,3.1525710640185344e+16
0.008,adapter.backbone.layer3.1.bn1,10.161177,0.9093000292778015,0.27183741331100464
0.008,adapter.backbone.layer3.1.relu,10.720944,0.8579000234603882,27.39183807373047
0.008,adapter.backbone.layer3.1.conv2,8.980191,0.9251000285148621,0.22812682390213013
0.008,adapter.backbone.layer3.1.bn2,10.25126,0.8992999792098999,nan
0.008,adapter.backbone.layer3.1.relu,10.50261,0.7965999841690063,nan
0.008,adapter.backbone.layer4.0.conv1,9.4253,0.9251000285148621,0.22846022248268127
0.008,adapter.backbone.layer4.0.bn1,8.969572,0.9251999855041504,0.22819939255714417
0.008,adapter.backbone.layer4.0.relu,10.012952,0.8417999744415283,2.308302640914917
0.008,adapter.backbone.layer4.0.conv2,8.688725,0.9251999855041504,0.22819162905216217
0.008,adapter.backbone.layer4.0.bn2,8.724219,0.9251999855041504,0.22820217907428741
0.008,adapter.backbone.layer4.0.downsample.0,9.344692,0.9251999855041504,0.22819212079048157
0.008,adapter.backbone.layer4.0.downsample.1,9.543535,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer4.0.relu,9.432135,0.9251000285148621,0.2282813936471939
0.008,adapter.backbone.layer4.1.conv1,9.134872,0.9251999855041504,0.22819079458713531
0.008,adapter.backbone.layer4.1.bn1,9.117985,0.9253000020980835,0.22830156981945038
0.008,adapter.backbone.layer4.1.relu,10.186846,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer4.1.conv2,9.240279,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer4.1.bn2,10.338294,0.9251999855041504,0.22819159924983978
0.008,adapter.backbone.layer4.1.relu,10.582569,0.8838000297546387,2.02347720474624e+16
0.008,adapter.backbone.avgpool,8.584757,0.9157999753952026,34415312.0
0.008,adapter.head.0,8.130484,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.conv1,41.501891,0.8985999822616577,3.038749933242798
0.009000000000000001,adapter.backbone.bn1,55.958104,0.9247999787330627,0.22845077514648438
0.009000000000000001,adapter.backbone.relu,38.622739,0.9251999855041504,0.22819197177886963
0.009000000000000001,adapter.backbone.maxpool,14.642262,0.8740000128746033,2.7980403900146484
0.009000000000000001,adapter.backbone.layer1.0.conv1,15.123492,0.9243999719619751,0.2302052229642868
