randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,-,26.255789,0.9251999855041504,0.22819159924983978
0,-,10.19246,0.9251999855041504,0.22819159924983978
0,adapter.backbone.conv1,86.230449,0.9251999855041504,0.22819110751152039
0,adapter.backbone.bn1,91.371596,0.9251999855041504,0.22818873822689056
0,adapter.backbone.relu,109.364946,0.9251999855041504,0.22819162905216217
0,adapter.backbone.maxpool,24.924425,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.0.conv1,31.072759,0.9251999855041504,0.22820129990577698
0,adapter.backbone.layer1.0.bn1,31.257186,0.9251999855041504,0.22819121181964874
0,adapter.backbone.layer1.0.relu,28.200328,0.9251999855041504,0.2281889170408249
0,adapter.backbone.layer1.0.conv2,31.778634,0.9251999855041504,0.22819174826145172
0,adapter.backbone.layer1.0.bn2,22.333842,0.9251999855041504,0.2284318059682846
0,adapter.backbone.layer1.0.relu,27.054939,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.1.conv1,19.767039,0.9251999855041504,0.22817978262901306
0,adapter.backbone.layer1.1.bn1,41.46817,0.902999997138977,0.41418763995170593
0,adapter.backbone.layer1.1.relu,34.005513,0.9253000020980835,0.22824406623840332
0,adapter.backbone.layer1.1.conv2,32.867675,0.9251999855041504,0.2281908392906189
0,adapter.backbone.layer1.1.bn2,30.51195,0.8995000123977661,0.7800368070602417
0,adapter.backbone.layer1.1.relu,75.280815,0.9251999855041504,0.22819091379642487
0,adapter.backbone.layer2.0.conv1,23.397085,0.9247999787330627,0.2285916805267334
0,adapter.backbone.layer2.0.bn1,35.877282,0.899399995803833,36.96065139770508
0,adapter.backbone.layer2.0.relu,24.378238,0.9251999855041504,0.2281915843486786
0,adapter.backbone.layer2.0.conv2,23.760606,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.bn2,25.366464,0.9003999829292297,0.7327514886856079
0,adapter.backbone.layer2.0.downsample.0,24.211314,0.9014999866485596,6.02813692379136e+16
0,adapter.backbone.layer2.0.downsample.1,21.471493,0.9251999855041504,0.22819304466247559
0,adapter.backbone.layer2.0.relu,22.819351,0.9251999855041504,0.2281915545463562
0,adapter.backbone.layer2.1.conv1,23.788064,0.8992000222206116,217.13070678710938
0,adapter.backbone.layer2.1.bn1,22.768083,0.9251999855041504,0.22821347415447235
0,adapter.backbone.layer2.1.relu,21.778388,0.9251999855041504,0.22819162905216217
0,adapter.backbone.layer2.1.conv2,24.114349,0.925000011920929,0.22843293845653534
0,adapter.backbone.layer2.1.bn2,21.120395,0.8992999792098999,nan
0,adapter.backbone.layer2.1.relu,23.686418,0.9251999855041504,0.2281915843486786
0,adapter.backbone.layer3.0.conv1,21.984576,0.9251999855041504,0.22820372879505157
0,adapter.backbone.layer3.0.bn1,18.897725,0.9251000285148621,0.22820711135864258
0,adapter.backbone.layer3.0.relu,20.786367,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.conv2,20.187681,0.9018999934196472,37.374305725097656
0,adapter.backbone.layer3.0.bn2,18.25492,0.9251999855041504,0.2281905710697174
0,adapter.backbone.layer3.0.downsample.0,20.510691,0.9243000149726868,0.23296479880809784
0,adapter.backbone.layer3.0.downsample.1,19.856805,0.9251000285148621,0.22891977429389954
0,adapter.backbone.layer3.0.relu,23.758088,0.8489000201225281,0.7271015048027039
0,adapter.backbone.layer3.1.conv1,24.828698,0.9251000285148621,0.22805972397327423
0,adapter.backbone.layer3.1.bn1,23.604086,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.1.relu,24.308083,0.8361999988555908,1.5489082293485568e+16
0,adapter.backbone.layer3.1.conv2,22.877247,0.9251999855041504,0.22819174826145172
0,adapter.backbone.layer3.1.bn2,20.551784,0.9251000285148621,0.2282320111989975
0,adapter.backbone.layer3.1.relu,24.15056,0.9251999855041504,0.2282082587480545
0,adapter.backbone.layer4.0.conv1,19.448588,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.bn1,19.166547,0.9197999835014343,5170957551403008.0
0,adapter.backbone.layer4.0.relu,19.722068,0.8392000198364258,8756768.0
0,adapter.backbone.layer4.0.conv2,19.300781,0.9016000032424927,3005723.75
