,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,0.0,-,19.73432,0.9251999855041504,0.2281915992498397
42,1e-07,adapter.backbone.conv1,15.753531,0.9251999855041504,0.2281915992498397
83,2e-07,adapter.backbone.conv1,16.504844,0.9251999855041504,0.2281915992498397
124,3e-07,adapter.backbone.conv1,16.084108,0.9251999855041504,0.2281915992498397
165,4e-07,adapter.backbone.conv1,16.719825,0.9251999855041504,0.2281915992498397
206,5e-07,adapter.backbone.conv1,15.832825,0.9251999855041504,0.2281915992498397
247,6e-07,adapter.backbone.conv1,17.522292,0.9251999855041504,0.2281915992498397
326,7e-07,adapter.backbone.layer4.1.conv2,18.308405,0.9241999983787536,0.2315095514059066
329,8e-07,adapter.backbone.conv1,17.902132,0.9251999855041504,0.2281915992498397
370,9e-07,adapter.backbone.conv1,17.88297,0.9251999855041504,0.2281915992498397
411,1e-06,adapter.backbone.conv1,18.161792,0.9251999855041504,0.2281915992498397
452,2e-06,adapter.backbone.conv1,17.633815,0.9251999855041504,0.2281915992498397
493,3e-06,adapter.backbone.conv1,16.639596,0.9251999855041504,0.2281915992498397
566,4e-06,adapter.backbone.layer4.0.conv2,18.414795,0.1198000013828277,inf
597,5e-06,adapter.backbone.layer3.0.conv2,17.682188,0.1032999977469444,3.009923697698356e+34
646,6e-06,adapter.backbone.layer4.0.conv1,18.320835,0.120399996638298,inf
657,7e-06,adapter.backbone.conv1,17.760977,0.9251999855041504,0.2281915992498397
730,8e-06,adapter.backbone.layer4.0.conv2,24.96869,0.1000000014901161,
759,9e-06,adapter.backbone.layer3.0.conv1,17.31149,0.9243000149726868,0.2305383086204528
808,1e-05,adapter.backbone.layer3.1.conv2,19.142034,0.0839999988675117,inf
841,2e-05,adapter.backbone.layer3.0.conv1,17.464868,0.9248999953269958,0.2260999530553817
900,3.0000000000000004e-05,adapter.backbone.layer4.1.conv2,20.342784,0.925000011920929,0.2281688004732132
935,4e-05,adapter.backbone.layer4.0.conv2,20.488232,0.0939999967813491,
978,5e-05,adapter.backbone.layer4.0.downsample.0,17.556878,0.9021999835968018,0.3136752545833587
989,6.000000000000001e-05,adapter.backbone.layer1.0.conv2,20.438654,0.925100028514862,0.2282361835241317
1036,7.000000000000001e-05,adapter.backbone.layer2.0.conv1,17.923785,0.100100003182888,inf
1083,8e-05,adapter.backbone.layer2.1.conv1,19.834034,0.0996999964118003,inf
1120,9e-05,adapter.backbone.layer2.0.conv2,17.467583,0.925100028514862,0.2281562685966491
1175,0.0001,adapter.backbone.layer3.1.conv1,17.897285,0.925100028514862,0.2279514819383621
1194,0.0002,adapter.backbone.layer1.0.conv2,18.608904,0.9225000143051147,0.2381620854139328
1245,0.0003,adapter.backbone.layer2.0.downsample.0,17.830873,0.9244999885559082,0.2275744080543518
1299,0.0004,adapter.backbone.layer3.1.bn1,21.780963,0.9241999983787536,0.2245271205902099
1347,0.0005,adapter.backbone.layer4.0.downsample.0,19.103188,0.1000000014901161,
1380,0.0006,adapter.backbone.layer3.1.conv1,18.890786,0.1000000014901161,
1411,0.0007,adapter.backbone.layer2.1.conv1,17.802385,0.9179999828338624,0.2463822066783905
1436,0.0008,adapter.backbone.conv1,20.191503,0.0993999987840652,
1495,0.0009,adapter.backbone.layer2.1.conv2,19.450334,0.916599988937378,0.2568949162960052
1529,0.001,adapter.backbone.layer2.0.bn1,16.038511,0.9222999811172484,0.2320443838834762
1565,0.002,adapter.backbone.layer1.1.conv1,17.898708,0.8651000261306763,0.412211537361145
1610,0.003,adapter.backbone.layer2.0.conv1,15.976067,0.1000000014901161,
1667,0.004,adapter.backbone.layer3.1.conv1,19.594305,0.1000000014901161,
1702,0.005,adapter.backbone.layer3.0.conv1,20.498348,0.0997999981045723,
1726,0.006,adapter.backbone.layer1.0.bn1,17.601731,0.1000000014901161,
1766,0.007,adapter.backbone.layer1.0.conv1,22.142314,0.1000000014901161,
1805,0.008,adapter.backbone.conv1,17.766647,0.100100003182888,
1853,0.009,adapter.backbone.layer1.1.bn1,18.039172,0.1000000014901161,
1925,0.01,adapter.backbone.layer4.1.conv2,18.579693,0.1000000014901161,
1967,0.02,adapter.backbone.layer4.1.bn2,16.497953,0.1147999987006187,619546688.0
2002,0.03,adapter.backbone.layer4.0.bn2,21.566486,0.1000000014901161,
2029,0.04,adapter.backbone.layer2.1.bn2,16.727304,0.1000000014901161,
2053,0.05,adapter.backbone.layer1.0.conv1,18.564098,0.1000000014901161,
2099,0.06,adapter.backbone.layer1.1.bn1,16.570754,0.1000000014901161,
2133,0.07,adapter.backbone.conv1,20.312349,0.1000000014901161,
2210,0.08,adapter.backbone.layer4.1.conv1,19.059935,0.1155999973416328,49.00535583496094
2237,0.09,adapter.backbone.layer3.0.conv2,17.926436,0.09740000218153,5.965147018432617
2262,0.1,adapter.backbone.layer1.1.conv1,18.50079,0.1000000014901161,
2322,0.2,adapter.backbone.layer3.0.downsample.1,21.321939,0.1000000014901161,
2356,0.3,adapter.backbone.layer2.1.conv2,19.458201,0.0888999998569488,10.375283241271973
2379,0.4,adapter.backbone.conv1,19.559774,0.1093000024557113,4.229990482330322
2426,0.5,adapter.backbone.layer1.1.conv1,18.140083,0.0703999996185302,6.508886337280273
2497,0.6000000000000001,adapter.backbone.layer4.1.conv1,20.64749,0.0935000032186508,23.110578536987305
2508,0.7000000000000001,adapter.backbone.layer1.1.conv1,18.249468,0.0833000019192695,8.411384582519531
2547,0.8,adapter.backbone.layer1.0.conv2,16.760381,0.1000000014901161,
2600,0.9,adapter.backbone.layer2.1.conv1,18.396183,0.0838000029325485,16.19145393371582
2631,1.0,adapter.backbone.layer1.1.conv1,19.387673,0.0619000010192394,7.72785472869873
