randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,-,19.73432,0.9251999855041504,0.22819159924983978
0,adapter.backbone.conv1,15.417241,0.9251999855041504,0.22819159924983978
0,adapter.backbone.bn1,16.342784,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.0.conv1,14.507853,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.0.bn1,16.073356,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.0.conv2,19.648618,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.0.bn2,19.408939,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.1.conv1,15.903523,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.1.bn1,14.331477,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.1.conv2,15.822321,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer1.1.bn2,16.258749,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.conv1,16.321186,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.bn1,16.051925,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.conv2,16.957069,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.bn2,14.913818,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.downsample.0,15.703576,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.0.downsample.1,16.234059,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.1.conv1,17.794626,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.1.bn1,15.741767,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.1.conv2,16.142358,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer2.1.bn2,16.575641,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.conv1,16.998913,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.bn1,17.217804,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.conv2,17.591345,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.bn2,16.495579,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.downsample.0,22.027344,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.0.downsample.1,17.638488,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.1.conv1,21.487183,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.1.bn1,16.580726,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.1.conv2,16.805291,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer3.1.bn2,16.139516,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.conv1,15.529487,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.bn1,15.919238,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.conv2,17.784053,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.bn2,16.279103,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.downsample.0,16.033452,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.0.downsample.1,16.076994,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.1.conv1,17.997738,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.1.bn1,16.244993,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.1.conv2,18.452125,0.9251999855041504,0.22819159924983978
0,adapter.backbone.layer4.1.bn2,15.819572,0.9251999855041504,0.22819159924983978
0,adapter.head.0,16.010339,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.conv1,15.753531,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.bn1,14.553137,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.0.conv1,15.651819,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.0.bn1,15.929342,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.0.conv2,16.383829,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.0.bn2,21.580497,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.1.conv1,19.471632,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.1.bn1,22.165485,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.1.conv2,18.260345,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer1.1.bn2,15.783847,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.0.conv1,14.491015,0.9251999855041504,0.22819028794765472
1e-07,adapter.backbone.layer2.0.bn1,16.032543,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.0.conv2,16.444023,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.0.bn2,16.189894,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.0.downsample.0,15.4987,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.0.downsample.1,15.517161,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.1.conv1,14.678294,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.1.bn1,15.293757,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.1.conv2,14.493284,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer2.1.bn2,15.664258,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.0.conv1,14.275311,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.0.bn1,16.076365,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.0.conv2,16.460697,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.0.bn2,19.491859,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.0.downsample.0,19.788182,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.0.downsample.1,20.1695,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.1.conv1,20.024041,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.1.bn1,21.350103,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.1.conv2,20.529297,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer3.1.bn2,23.235869,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.0.conv1,17.942966,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.0.bn1,16.845845,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.0.conv2,22.504816,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.0.bn2,17.912956,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.0.downsample.0,17.294802,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.0.downsample.1,17.816737,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.1.conv1,21.860845,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.1.bn1,16.962016,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.1.conv2,23.486054,0.9251999855041504,0.22819159924983978
1e-07,adapter.backbone.layer4.1.bn2,19.605803,0.9251999855041504,0.22819159924983978
1e-07,adapter.head.0,16.096387,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.conv1,16.504844,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.bn1,21.775007,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.0.conv1,16.166686,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.0.bn1,16.166598,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.0.conv2,19.831023,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.0.bn2,22.162257,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.1.conv1,17.880885,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.1.bn1,17.630939,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.1.conv2,20.404681,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer1.1.bn2,17.617914,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.0.conv1,16.050238,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.0.bn1,15.653481,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.0.conv2,14.711801,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.0.bn2,17.42454,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.0.downsample.0,15.822536,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.0.downsample.1,16.811746,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.1.conv1,17.327366,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.1.bn1,16.78976,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.1.conv2,16.86754,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer2.1.bn2,17.489737,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.0.conv1,18.223766,0.9251999855041504,0.2281915843486786
2e-07,adapter.backbone.layer3.0.bn1,18.110187,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.0.conv2,16.529731,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.0.bn2,16.282204,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.0.downsample.0,24.096844,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.0.downsample.1,15.971467,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.1.conv1,16.022556,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.1.bn1,18.617879,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.1.conv2,16.328227,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer3.1.bn2,19.029987,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.0.conv1,20.198266,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.0.bn1,17.529053,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.0.conv2,18.093766,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.0.bn2,17.023906,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.0.downsample.0,17.68227,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.0.downsample.1,17.623735,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.1.conv1,18.735052,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.1.bn1,17.591304,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.1.conv2,18.722991,0.9251999855041504,0.22819159924983978
2e-07,adapter.backbone.layer4.1.bn2,17.934117,0.9251999855041504,0.22819159924983978
2e-07,adapter.head.0,17.997813,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.conv1,16.084108,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.bn1,17.849501,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.0.conv1,18.233733,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.0.bn1,20.101868,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.0.conv2,19.212234,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.0.bn2,14.634368,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.1.conv1,15.911231,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.1.bn1,17.24393,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.1.conv2,16.511613,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer1.1.bn2,19.469643,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.0.conv1,18.52078,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.0.bn1,15.987083,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.0.conv2,15.603671,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.0.bn2,17.75195,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.0.downsample.0,14.836042,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.0.downsample.1,19.183618,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.1.conv1,17.35985,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.1.bn1,17.22801,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.1.conv2,17.207087,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer2.1.bn2,17.782571,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.0.conv1,17.654897,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.0.bn1,16.52478,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.0.conv2,17.198993,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.0.bn2,17.655287,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.0.downsample.0,17.886024,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.0.downsample.1,22.022303,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.1.conv1,17.724006,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.1.bn1,16.295707,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.1.conv2,18.955407,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer3.1.bn2,15.442324,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.0.conv1,16.499368,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.0.bn1,20.08162,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.0.conv2,20.109348,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.0.bn2,17.414803,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.0.downsample.0,17.789889,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.0.downsample.1,17.730633,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.1.conv1,18.756197,0.9251999855041504,0.22819162905216217
3e-07,adapter.backbone.layer4.1.bn1,17.878695,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.1.conv2,16.760381,0.9251999855041504,0.22819159924983978
3e-07,adapter.backbone.layer4.1.bn2,16.092921,0.9251999855041504,0.22819159924983978
3e-07,adapter.head.0,17.487427,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.conv1,16.719825,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.bn1,17.375207,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.0.conv1,18.526059,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.0.bn1,17.906112,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.0.conv2,20.199665,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.0.bn2,20.460543,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.1.conv1,16.32659,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.1.bn1,15.350676,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.1.conv2,15.51194,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer1.1.bn2,16.274265,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.0.conv1,17.687914,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.0.bn1,20.370711,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.0.conv2,19.603609,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.0.bn2,17.005097,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.0.downsample.0,16.341154,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.0.downsample.1,17.324609,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.1.conv1,17.895142,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.1.bn1,17.901129,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.1.conv2,17.254107,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer2.1.bn2,16.836313,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.0.conv1,18.086061,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.0.bn1,16.304417,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.0.conv2,17.610116,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.0.bn2,17.672712,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.0.downsample.0,16.099795,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.0.downsample.1,18.083711,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.1.conv1,24.178519,0.9251999855041504,0.2282007783651352
4e-07,adapter.backbone.layer3.1.bn1,17.013375,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.1.conv2,16.042703,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer3.1.bn2,17.246511,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.0.conv1,17.448922,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.0.bn1,16.266432,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.0.conv2,21.618643,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.0.bn2,16.638118,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.0.downsample.0,18.239767,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.0.downsample.1,16.104149,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.1.conv1,18.487581,0.9251999855041504,0.22819162905216217
4e-07,adapter.backbone.layer4.1.bn1,18.276985,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.1.conv2,19.625612,0.9251999855041504,0.22819159924983978
4e-07,adapter.backbone.layer4.1.bn2,17.609015,0.9251999855041504,0.22819159924983978
4e-07,adapter.head.0,17.247013,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.conv1,15.832825,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.bn1,17.58521,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.0.conv1,17.316021,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.0.bn1,17.359665,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.0.conv2,18.162541,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.0.bn2,25.521479,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.1.conv1,17.703753,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.1.bn1,16.736335,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.1.conv2,17.52797,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer1.1.bn2,17.696212,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.0.conv1,18.772826,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.0.bn1,17.855836,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.0.conv2,19.741799,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.0.bn2,17.584455,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.0.downsample.0,16.759044,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.0.downsample.1,17.740833,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.1.conv1,17.722728,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.1.bn1,16.104961,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer2.1.conv2,17.951861,0.9251999855041504,0.22819164395332336
5e-07,adapter.backbone.layer2.1.bn2,18.047306,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer3.0.conv1,17.368561,0.9251999855041504,0.22819159924983978
5e-07,adapter.backbone.layer3.0.bn1,16.546385,0.9251999855041504,0.22819159924983978
