,randomness,layer_name,execution_time,test_acc,test_acc_epoch,test_loss,test_loss_epoch
1,0.0,sequential.2,144.87926,0.5265151262283325,0.5265151262283325,1.723266839981079,1.723266839981079
3,1e-07,sequential.2,110.707073,0.5833333134651184,0.5833333134651184,1.3650449514389038,1.3650449514389038
5,2e-07,sequential.2,116.926041,0.5757575631141663,0.5757575631141663,1.4053188562393188,1.4053188562393188
7,3e-07,sequential.2,182.209402,0.5833333134651184,0.5833333134651184,1.3647607564926147,1.3647607564926147
10,4e-07,sequential.6,112.277654,0.4583333432674408,0.4583333432674408,20.063140869140625,20.063140869140625
11,5e-07,sequential.2,195.079973,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
13,6e-07,sequential.2,134.187382,0.5492424368858337,0.5492424368858337,1.4956496953964231,1.4956496953964231
16,7e-07,sequential.6,97.234663,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
17,8e-07,sequential.2,97.181863,0.5833333134651184,0.5833333134651184,1.3646628856658936,1.3646628856658936
19,9e-07,sequential.2,180.351141,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
21,1e-06,sequential.2,133.720978,0.5833333134651184,0.5833333134651184,1.3653759956359863,1.3653759956359863
23,2e-06,sequential.2,161.131975,0.5265151262283325,0.5265151262283325,1.6916370391845703,1.6916370391845703
25,3e-06,sequential.2,192.104203,0.5037878751754761,0.5037878751754761,1.7887685298919678,1.7887685298919678
27,4e-06,sequential.2,165.629999,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
30,5e-06,sequential.6,109.225924,0.5416666865348816,0.5416666865348816,1.8130624294281008,1.8130624294281008
31,6e-06,sequential.2,108.655167,0.5833333134651184,0.5833333134651184,1.3657208681106567,1.3657208681106567
33,7e-06,sequential.2,164.898245,0.5833333134651184,0.5833333134651184,1.364910125732422,1.364910125732422
35,8e-06,sequential.2,178.541206,0.5530303120613098,0.5530303120613098,1.56882905960083,1.56882905960083
37,9e-06,sequential.2,134.468391,0.5833333134651184,0.5833333134651184,1.3654006719589231,1.3654006719589231
39,1e-05,sequential.2,98.521929,0.5568181872367859,0.5568181872367859,1.4746686220169067,1.4746686220169067
41,2e-05,sequential.2,139.460795,0.5833333134651184,0.5833333134651184,1.3658912181854248,1.3658912181854248
