,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,0.0,-,28.324776,0.8482999801635742,0.4398264586925506
23,1e-07,adapter.backbone.0,23.780847,0.8482999801635742,0.4398264586925506
45,2e-07,adapter.backbone.0,24.772578,0.8482999801635742,0.4398264586925506
73,3e-07,adapter.backbone.6,23.927807,0.8482000231742859,0.4399035573005676
89,4e-07,adapter.backbone.0,24.615582,0.8482999801635742,0.4398258328437805
112,5e-07,adapter.backbone.1,23.69406,0.8432000279426575,4431085010157568.0
138,6e-07,adapter.backbone.5,24.925625,0.4553999900817871,inf
155,7e-07,adapter.backbone.0,24.638565,0.8482999801635742,0.4398265182971954
193,8e-07,adapter.backbone.16,24.555819,0.7878999710083008,218.96713256835935
206,9e-07,adapter.backbone.7,23.98464,0.801800012588501,0.8857437372207642
230,1e-06,adapter.backbone.9,22.874881,0.8165000081062317,1.4327716230462588e+34
257,2e-06,adapter.backbone.14,23.016517,0.8108999729156494,1.3063903239995392e+16
269,3e-06,adapter.backbone.4,25.21734,0.847100019454956,105928.1015625
289,4e-06,adapter.backbone.2,25.092907,0.6209999918937683,842.4288940429688
322,5e-06,adapter.backbone.13,24.561057,0.8416000008583069,0.4639930129051208
333,6e-06,adapter.backbone.2,23.728689,0.1023000031709671,inf
361,7e-06,adapter.backbone.8,23.480571,0.6136000156402588,265.6059265136719
384,8e-06,adapter.backbone.9,23.989996,0.8435999751091003,0.4612188339233398
399,9e-06,adapter.backbone.2,23.336508,0.1509000062942505,inf
425,1e-05,adapter.backbone.6,22.038824,0.4435000121593475,459.0775146484375
448,2e-05,adapter.backbone.7,24.011184,0.5443000197410583,28911672.0
466,3.0000000000000004e-05,adapter.backbone.3,25.594756,0.4277999997138977,3.453008707888087e+17
491,4e-05,adapter.backbone.6,24.242319,0.2610999941825866,4.89744847201108e+17
514,5e-05,adapter.backbone.7,23.612636,0.1014999970793724,inf
531,6.000000000000001e-05,adapter.backbone.2,26.075172,0.620199978351593,3.328380439269212e+17
559,7.000000000000001e-05,adapter.backbone.8,25.736494,0.1688999980688095,1275.2860107421875
576,8e-05,adapter.backbone.3,25.300093,0.1771000027656555,9.475475759452652e+17
597,9e-05,adapter.backbone.2,24.847673,0.1000000014901161,inf
625,0.0001,adapter.backbone.8,25.770689,0.1031000018119812,inf
646,0.0002,adapter.backbone.7,25.034684,0.100100003182888,inf
669,0.0003,adapter.backbone.8,25.517232,0.0922000035643577,167794608.0
694,0.0004,adapter.backbone.11,24.53007,0.0952000021934509,1.7861317628715336e+18
712,0.0005,adapter.backbone.7,25.915463,0.098700001835823,2.4426948234764616e+18
730,0.0006,adapter.backbone.3,25.978783,0.0989999994635582,inf
758,0.0007,adapter.backbone.9,23.784781,0.1247999966144561,1.2535331407402107e+18
789,0.0008,adapter.backbone.18,24.953082,0.1000000014901161,
799,0.0009,adapter.backbone.6,24.770694,0.1044000014662742,38.62384796142578
821,0.001,adapter.backbone.6,24.494261,0.1027000024914741,inf
838,0.002,adapter.backbone.1,23.981261,0.1081999987363815,inf
866,0.003,adapter.backbone.7,25.825118,0.1163000017404556,15866.4990234375
881,0.004,adapter.backbone.0,24.343396,0.1018000021576881,1.7599714400531382e+19
920,0.005,adapter.backbone.17,24.464823,0.1278000026941299,2943038464.0
935,0.006,adapter.backbone.10,25.73375,0.0957000032067298,inf
957,0.007,adapter.backbone.10,24.818655,0.100500002503395,inf
980,0.008,adapter.backbone.11,24.248923,0.1098999977111816,67.00276947021484
1000,0.009,adapter.backbone.9,25.15018,0.1577000021934509,9.603175101486858e+17
1033,0.01,adapter.backbone.20,23.968273,0.3899999856948852,13.847139358520508
1047,0.02,adapter.backbone.12,25.449441,0.1010999977588653,inf
1069,0.03,adapter.backbone.12,24.300034,0.1177000030875206,1442431488.0
1083,0.04,adapter.backbone.4,24.072606,0.0947000011801719,
1105,0.05,adapter.backbone.4,24.989973,0.090499997138977,
1125,0.06,adapter.backbone.2,25.849346,0.1650999933481216,18.40007781982422
1147,0.07,adapter.backbone.2,26.148698,0.1053000018000602,118734.359375
1184,0.08,adapter.backbone.17,25.784644,0.2358999997377395,101201.1328125
1189,0.09,adapter.backbone.0,24.309065,0.1058000028133392,145110.203125
1229,0.1,adapter.backbone.18,25.325838,0.6075999736785889,2.34151364031991e+18
1236,0.2,adapter.backbone.3,25.448803,0.1000000014901161,3.2166707515716557
1258,0.3,adapter.backbone.3,25.318288,0.1000000014901161,3.2166707515716557
1282,0.4,adapter.backbone.5,24.31016,0.6593999862670898,1.1379737854003906
1307,0.5,adapter.backbone.8,25.966372,0.1006999984383583,6.771232128143311
1334,0.6000000000000001,adapter.backbone.13,24.653334,0.1000000014901161,3.3519270420074463
1347,0.7000000000000001,adapter.backbone.4,24.670825,0.0989999994635582,
1380,0.8,adapter.backbone.15,24.818897,0.1000000014901161,4.4033861441191583e+33
1402,0.9,adapter.backbone.15,23.879257,0.0851000025868415,2.3393828868865967
1418,1.0,adapter.backbone.9,25.686856,0.1000000014901161,
