,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,0.0,-,25.736007,0.8482999801635742,0.4398264586925506
23,1e-07,adapter.backbone.0,29.232747,0.8482999801635742,0.4398265182971954
45,2e-07,adapter.backbone.0,25.441352,0.8482999801635742,0.4398265182971954
67,3e-07,adapter.backbone.0,27.969829,0.8482999801635742,0.4398265182971954
92,4e-07,adapter.backbone.3,22.880754,0.8438000082969666,0.4532224237918854
112,5e-07,adapter.backbone.1,25.620865,0.8431000113487244,0.4523513317108154
147,6e-07,adapter.backbone.14,19.563602,0.847599983215332,0.4397887587547302
155,7e-07,adapter.backbone.0,27.061912,0.8482999801635742,0.4398265480995178
179,8e-07,adapter.backbone.2,21.193453,0.8474000096321106,0.4400177299976349
208,9e-07,adapter.backbone.9,25.836244,0.847000002861023,0.442961037158966
221,1e-06,adapter.backbone.0,23.615426,0.8482999801635742,0.4398265182971954
253,2e-06,adapter.backbone.10,28.230924,0.8475000262260437,0.4400222301483154
266,3e-06,adapter.backbone.1,31.542742,0.8481000065803528,0.4398459494113922
289,4e-06,adapter.backbone.2,21.296348,0.845300018787384,0.4441191852092743
326,5e-06,adapter.backbone.17,22.631688,0.8482000231742859,0.439867228269577
333,6e-06,adapter.backbone.2,24.386005,0.8245999813079834,0.5057573318481445
358,7e-06,adapter.backbone.5,23.565892,0.8478999733924866,0.439786434173584
378,8e-06,adapter.backbone.3,23.605043,0.8479999899864197,0.4396728575229645
399,9e-06,adapter.backbone.2,23.496051,0.5450999736785889,1.6664072275161743
419,1e-05,adapter.backbone.0,24.236927,0.241699993610382,5.597650051116943
441,2e-05,adapter.backbone.0,25.460804,0.808899998664856,0.5465490818023682
481,3.0000000000000004e-05,adapter.backbone.18,23.415033,0.75,0.749309241771698
485,4e-05,adapter.backbone.0,25.187251,0.1018999963998794,23.974910736083984
514,5e-05,adapter.backbone.7,23.737326,0.8414999842643738,0.4564771354198456
531,6.000000000000001e-05,adapter.backbone.2,24.330902,0.6322000026702881,1.2371467351913452
557,7.000000000000001e-05,adapter.backbone.6,24.406196,0.7366999983787537,0.842366099357605
574,8e-05,adapter.backbone.1,25.253644,0.4137000143527984,2.696417808532715
595,9e-05,adapter.backbone.0,24.377036,0.1006999984383583,30.252744674682617
625,0.0001,adapter.backbone.8,22.251052,0.8414000272750854,0.4539318978786468
642,0.0002,adapter.backbone.3,24.958733,0.1824000030755996,10.359699249267578
670,0.0003,adapter.backbone.9,23.229245,0.8440999984741211,0.448777973651886
688,0.0004,adapter.backbone.5,22.368721,0.6119999885559082,1.2319045066833496
716,0.0005,adapter.backbone.11,22.593652,0.481900006532669,2.1870436668396
735,0.0006,adapter.backbone.8,24.684514,0.2863000035285949,2.4302754402160645
750,0.0007,adapter.backbone.1,26.139874,0.1033999994397163,13.92984390258789
771,0.0008,adapter.backbone.0,22.553072,0.1133999973535537,30.01508140563965
805,0.0009,adapter.backbone.12,24.32565,0.1229000017046928,9.27581024169922
825,0.001,adapter.backbone.10,21.297393,0.4415000081062317,1.521568775177002
838,0.002,adapter.backbone.1,22.887276,0.1000000014901161,19.010072708129883
876,0.003,adapter.backbone.17,21.019725,0.1702000051736831,161.40115356445312
881,0.004,adapter.backbone.0,23.699317,0.1272000074386596,12.721880912780762
909,0.005,adapter.backbone.6,23.404312,0.0997999981045723,14.439815521240234
939,0.006,adapter.backbone.14,21.645067,0.1508000046014785,5.987163066864014
950,0.007,adapter.backbone.3,24.471266,0.216399997472763,6.151013851165772
982,0.008,adapter.backbone.13,22.213655,0.0979999974370002,23.745847702026367
1000,0.009,adapter.backbone.9,23.992696,0.2775000035762787,4.585353851318359
1033,0.01,adapter.backbone.20,23.639954,0.8127999901771545,0.5325844883918762
1036,0.02,adapter.backbone.1,26.323544,0.0791999995708465,18.75129508972168
1063,0.03,adapter.backbone.6,23.653864,0.3359000086784363,4.100925922393799
1083,0.04,adapter.backbone.4,22.037057,0.1000000014901161,38.6700553894043
1105,0.05,adapter.backbone.4,22.775022,0.1265999972820282,35.92534637451172
1133,0.06,adapter.backbone.10,22.964058,0.2087000012397766,5.532825946807861
1148,0.07,adapter.backbone.3,22.728555,0.0988999977707862,82.98480224609375
1174,0.08,adapter.backbone.7,21.515195,0.1000000014901161,107.47311401367188
1198,0.09,adapter.backbone.9,24.761906,0.1000000014901161,15.8410062789917
1228,0.1,adapter.backbone.17,22.683488,0.1000000014901161,4324.61572265625
1237,0.2,adapter.backbone.4,22.058089,0.0996999964118003,11.999794960021973
1269,0.3,adapter.backbone.14,23.116505,0.1000000014901161,6.6428728103637695
1291,0.4,adapter.backbone.14,24.437321,0.100100003182888,3.455599308013916
1307,0.5,adapter.backbone.8,23.800919,0.09740000218153,78.44692993164062
1328,0.6000000000000001,adapter.backbone.7,22.404003,0.0910999998450279,3.192511796951294
1347,0.7000000000000001,adapter.backbone.4,24.83307,0.1000000014901161,57.05898666381836
1380,0.8,adapter.backbone.15,21.684611,0.1000000014901161,26.53797721862793
1399,0.9,adapter.backbone.12,22.382596,0.1000000014901161,4.857247352600098
1411,1.0,adapter.backbone.2,24.184775,0.1000000014901161,3.4400675296783447
