,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
17,0.0,adapter.backbone.15,27.608214,0.7475000023841858,0.7203948497772217
28,1e-07,adapter.backbone.4,145.658989,0.7890999913215637,5981.2998046875
60,2e-07,adapter.backbone.14,29.932962,0.574400007724762,1.0041156963730868e+34
78,3e-07,adapter.backbone.10,47.761122,0.8179000020027161,6.154209847609917e+17
107,4e-07,adapter.backbone.17,31.853474,0.8230999708175659,1.916379635419972e+18
116,5e-07,adapter.backbone.4,174.010496,0.7882000207901001,24.200841903686523
146,6e-07,adapter.backbone.12,32.680912,0.7294999957084656,9.38029876697888e+33
168,7e-07,adapter.backbone.12,70.831058,0.729200005531311,1.1135468482971191
182,8e-07,adapter.backbone.4,199.298081,0.7886999845504761,401433024.0
202,9e-07,adapter.backbone.2,92.234698,0.79830002784729,2.8886449199524086e+18
231,1e-06,adapter.backbone.9,31.421715,0.7102000117301941,inf
259,2e-06,adapter.backbone.15,28.222885,0.7037000060081482,2.649091720412541e+33
270,3e-06,adapter.backbone.4,55.600921,0.7831000089645386,9.272744369549476e+17
307,4e-06,adapter.backbone.19,34.677745,0.5332000255584717,1.3701679706573486
329,5e-06,adapter.backbone.19,27.74158,0.545199990272522,
352,6e-06,adapter.backbone.20,26.831555,0.7791000008583069,1749.0860595703125
358,7e-06,adapter.backbone.4,88.678799,0.7874000072479248,326132736.0
390,8e-06,adapter.backbone.14,31.38186,0.754800021648407,139733072.0
407,9e-06,adapter.backbone.9,46.077908,0.7857999801635742,1698.511962890625
424,1e-05,adapter.backbone.4,169.952665,0.7915999889373779,1.90315580368042
451,2e-05,adapter.backbone.9,35.565643,0.7627000212669373,1391.4891357421875
481,3.0000000000000004e-05,adapter.backbone.17,32.889633,0.728600025177002,1.886015267191709e+34
500,4e-05,adapter.backbone.14,25.469773,0.8001000285148621,0.5854176878929138
513,5e-05,adapter.backbone.5,68.413169,0.7993999719619751,
537,6.000000000000001e-05,adapter.backbone.7,98.985029,0.7882999777793884,1.0163629055023191
553,7.000000000000001e-05,adapter.backbone.1,325.125306,0.7922000288963318,644902656.0
578,8e-05,adapter.backbone.4,114.514665,0.7882999777793884,23.13871383666992
602,9e-05,adapter.backbone.6,73.557725,0.8233000040054321,0.5205845832824707
630,0.0001,adapter.backbone.12,37.844846,0.798799991607666,1.1860334347162747e+18
652,0.0002,adapter.backbone.12,49.438224,0.7358999848365784,0.997897744178772
679,0.0003,adapter.backbone.17,22.581439,0.7282000184059143,8.651313635014918e+33
703,0.0004,adapter.backbone.19,25.026436,0.545199990272522,
707,0.0005,adapter.backbone.1,176.593701,0.7921000123023987,11072.3447265625
729,0.0006,adapter.backbone.1,103.230313,0.8123999834060669,0.6344871520996094
769,0.0007,adapter.backbone.19,24.234164,0.7170000076293945,2735.347900390625
773,0.0008,adapter.backbone.1,227.518617,0.792900025844574,
794,0.0009,adapter.backbone.0,243.550334,0.8235999941825867,4760.28271484375
836,0.001,adapter.backbone.20,22.27764,0.692799985408783,0.9984774589538574
855,0.002,adapter.backbone.17,25.424303,0.7281000018119812,1.199095461556668e+34
879,0.003,adapter.backbone.9,70.461395,0.7730000019073486,0.637858510017395
893,0.004,adapter.backbone.1,298.28617,0.8116999864578247,0.679758608341217
919,0.005,adapter.backbone.5,31.002663,0.8027999997138977,0.6288987994194031
948,0.006,adapter.backbone.12,21.399723,0.7559000253677368,1.398439289993298e+18
978,0.007,adapter.backbone.20,16.811187,0.6836000084877014,
987,0.008,adapter.backbone.7,42.715068,0.796500027179718,4531.43359375
1006,0.009,adapter.backbone.4,106.385733,0.7878000140190125,382279008.0
1044,0.01,adapter.backbone.20,17.69468,0.6833999752998352,
1063,0.02,adapter.backbone.17,17.267508,0.7943000197410583,9241.8544921875
1088,0.03,adapter.backbone.20,17.961678,0.8112999796867371,161238720.0
1102,0.04,adapter.backbone.12,22.563793,0.7906000018119812,4349.89501953125
1131,0.05,adapter.backbone.19,17.963998,0.8118000030517578,0.7230398654937744
1143,0.06,adapter.backbone.9,21.919677,0.7519000172615051,4.950123310089111
1176,0.07,adapter.backbone.20,17.569596,0.8076000213623047,148626496.0
1191,0.08,adapter.backbone.13,36.085494,0.8234000205993652,0.5982613563537598
1202,0.09,adapter.backbone.2,43.033304,0.8019000291824341,0.7023212909698486
1224,0.1,adapter.backbone.2,42.423263,0.79830002784729,2.738261141208695e+18
1264,0.2,adapter.backbone.20,17.213536,0.6833999752998352,
1276,0.3,adapter.backbone.10,17.503082,0.7714999914169312,766.3934326171875
1298,0.4,adapter.backbone.10,18.30609,0.7555999755859375,inf
1329,0.5,adapter.backbone.19,16.341802,0.7603999972343445,9.575284614658784e+17
1334,0.6000000000000001,adapter.backbone.2,32.196369,0.7986000180244446,34.91006851196289
1364,0.7000000000000001,adapter.backbone.10,17.24674,0.7785999774932861,53269092.0
1393,0.8,adapter.backbone.17,16.778663,0.7468000054359436,4.332807263547818e+18
1408,0.9,adapter.backbone.10,22.619743,0.8163999915122986,5.529171846957629e+17
1434,1.0,adapter.backbone.14,20.504214,0.7803000211715698,2664.427978515625
