,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0,0.0,-,27.744673,0.8482999801635742,0.4398264586925506
10,1e-07,adapter.backbone.0,26.23832,0.8482999801635742,0.4398264586925506
19,2e-07,adapter.backbone.0,25.724178,0.8482999801635742,0.4398264586925506
28,3e-07,adapter.backbone.0,23.432641,0.8482999801635742,0.4398264586925506
37,4e-07,adapter.backbone.0,23.900024,0.8482999801635742,0.4398264586925506
46,5e-07,adapter.backbone.0,25.234174,0.8482999801635742,0.4398264586925506
55,6e-07,adapter.backbone.0,24.158195,0.8482999801635742,0.4398264586925506
64,7e-07,adapter.backbone.0,27.245826,0.8482999801635742,0.4398264586925506
80,8e-07,adapter.backbone.18,25.2227,0.8482000231742859,0.4399267137050628
82,9e-07,adapter.backbone.0,25.208352,0.8482999801635742,0.4398264586925506
91,1e-06,adapter.backbone.0,24.45599,0.8482999801635742,0.4398264586925506
100,2e-06,adapter.backbone.0,23.677236,0.8482999801635742,0.4398264586925506
109,3e-06,adapter.backbone.0,26.651411,0.8482999801635742,0.4398264586925506
118,4e-06,adapter.backbone.0,24.201089,0.8482999801635742,0.4398264586925506
127,5e-06,adapter.backbone.0,21.993956,0.8482999801635742,0.4398264586925506
138,6e-06,adapter.backbone.6,23.903589,0.0984999984502792,inf
145,7e-06,adapter.backbone.0,21.746886,0.8482999801635742,0.4398264586925506
154,8e-06,adapter.backbone.0,24.330026,0.8482999801635742,0.4398264586925506
170,9e-06,adapter.backbone.18,22.164409,0.0531000010669231,
179,1e-05,adapter.backbone.18,23.257355,0.8481000065803528,0.4398557543754577
181,2e-05,adapter.backbone.0,21.819519,0.8468999862670898,0.4414053857326507
196,3.0000000000000004e-05,adapter.backbone.16,24.915356,0.8482000231742859,0.4397774338722229
206,4e-05,adapter.backbone.18,23.233384,0.8414000272750854,0.4658223688602447
215,5e-05,adapter.backbone.18,24.478639,0.8482000231742859,0.4398666024208069
220,6.000000000000001e-05,adapter.backbone.8,22.975087,0.8478000164031982,0.4402586817741394
230,7.000000000000001e-05,adapter.backbone.11,24.027055,0.1094999983906745,inf
235,8e-05,adapter.backbone.0,23.527332,0.8482999801635742,0.4398264586925506
250,9e-05,adapter.backbone.16,25.257005,0.8454999923706055,0.4446090459823608
253,0.0001,adapter.backbone.0,22.719732,0.8482999801635742,0.4398264586925506
262,0.0002,adapter.backbone.0,24.694086,0.8482999801635742,0.4398263096809387
271,0.0003,adapter.backbone.0,24.645034,0.8482999801635742,0.4398265182971954
280,0.0004,adapter.backbone.0,23.817939,0.8482999801635742,0.4398264586925506
289,0.0005,adapter.backbone.0,24.125685,0.8457000255584717,0.4526893496513366
299,0.0006,adapter.backbone.3,23.543214,0.8482999801635742,0.4398264586925506
312,0.0007,adapter.backbone.13,24.890396,0.8476999998092651,0.4397522807121277
322,0.0008,adapter.backbone.16,28.845792,0.7723000049591064,0.6587451696395874
333,0.0009,adapter.head.0,23.712735,0.1516000032424926,inf
338,0.001,adapter.backbone.11,23.25195,0.8482000231742859,0.4398312568664551
349,0.002,adapter.backbone.16,25.373987,0.8155999779701233,0.5321588516235352
358,0.003,adapter.backbone.16,24.751349,0.8479999899864197,0.4401835799217224
361,0.004,adapter.backbone.0,23.955461,0.8083000183105469,0.5552353262901306
370,0.005,adapter.backbone.0,23.727123,0.84579998254776,0.4520037174224853
384,0.006,adapter.backbone.13,25.683887,0.301800012588501,4.601602077484131
388,0.007,adapter.backbone.0,24.384243,0.5144000053405762,1.6617634296417236
399,0.008,adapter.backbone.6,24.277981,0.1260000020265579,inf
413,0.009,adapter.backbone.18,24.704284,0.1000000014901161,
415,0.01,adapter.backbone.0,23.363983,0.7069000005722046,0.8908705115318298
425,0.02,adapter.backbone.3,23.845739,0.8402000069618225,0.4619955122470855
440,0.03,adapter.backbone.18,26.650335,0.1000000014901161,
445,0.04,adapter.backbone.8,22.601268,0.8406000137329102,0.4670816361904144
459,0.05,adapter.head.0,23.213981,0.8127999901771545,0.5361380577087402
463,0.06,adapter.backbone.8,23.88865,0.1084999963641166,6.252213478088379
474,0.07,adapter.backbone.13,25.815908,0.1291999965906143,
478,0.08,adapter.backbone.0,22.375869,0.1415999978780746,5.255992412567139
487,0.09,adapter.backbone.0,24.937911,0.2001000046730041,3.7970316410064697
497,0.1,adapter.backbone.3,24.067431,0.819100022315979,0.5177825093269348
511,0.2,adapter.backbone.16,24.297618,0.1090999990701675,2.765288591384888
514,0.3,adapter.backbone.0,24.049927,0.0957000032067298,
528,0.4,adapter.backbone.13,26.592814,0.1068999990820884,
533,0.5,adapter.backbone.3,24.033365,0.7303000092506409,0.8099811673164368
541,0.6000000000000001,adapter.backbone.0,23.621065,0.1019999980926513,12.22265338897705
557,0.7000000000000001,adapter.backbone.18,25.840943,0.0668999999761581,61.53663635253906
566,0.8,adapter.backbone.18,22.624566,0.1000000014901161,
568,0.9,adapter.backbone.0,23.111631,0.1115000024437904,6.489243984222412
583,1.0,adapter.backbone.16,24.405934,0.0834999978542327,2.350747346878052
